개념ID,개념명,영역,학년단계,선수개념IDs,한줄설명,개념설명,예시,그림
N01,자연수의 곱셈 (구구단),자연수,초2-3,,한 자리수 곱셈의 즉답,같은 수를 여러 번 더하는 일을 짧게 줄여 적은 것이 곱셈입니다. 7×8 은 7 을 8 번 더한 결과 56 과 같지만 매번 더하면 시간이 오래 걸리므로 2 단부터 9 단까지의 곱셈표(구구단) 를 통째로 외워두면 이후 모든 수학 계산 속도가 크게 달라져요. 학생들이 자주 헷갈리는 6×7=42 7×8=56 8×9=72 같은 큰 수들은 따로 여러 번 소리 내어 외우는 것이 효과적입니다.,7×8=56  /  6×9=54  /  8×4=32,
N02,자연수의 나눗셈 (몫·나머지),자연수,초3-4,N01,나눗셈의 의미와 나머지 처리,나눗셈은 어떤 수를 똑같은 묶음으로 나누었을 때 한 묶음의 크기 또는 묶음의 개수를 구하는 일입니다. 17 개를 5 명에게 똑같이 나누어 주려고 하면 한 사람당 3 개씩 받고 2 개가 남는데 이때 3 을 몫 2 를 나머지라 부릅니다. 검산 방법은 나누는 수×몫 + 나머지 = 처음 수 즉 5×3+2=17 이며 나머지가 항상 나누는 수보다 작아야 한다는 조건을 자주 잊으니 주의하세요.,17 ÷ 5 = 몫 3 나머지 2 (확인: 5×3+2=17),
N03,약수·배수·최대공약수·최소공배수,자연수,초5,N01;N02,공통 인수와 공통 배수 찾기,약수는 어떤 수를 나누어 떨어지게 하는 수이고 배수는 어떤 수를 1 배 2 배 3 배… 한 수입니다. 두 수의 공통 약수 중 가장 큰 것이 최대공약수 공통 배수 중 가장 작은 것이 최소공배수예요. 두 수를 모두 똑같이 나눌 수 있는 가장 큰 수와 두 수의 배수가 처음으로 만나는 수라고 이해하면 좋습니다. 보통 소인수분해를 이용하면 빠르게 구할 수 있어요.,12와 18 → 약수 공통 1·2·3·6 → 최대공약수 6  /  최소공배수 36,
N04,거듭제곱 표기,자연수,초6-중1,N01,같은 수의 반복 곱을 지수로 표현,같은 수를 여러 번 곱한 식을 짧게 적기 위해 위 어깨에 곱한 횟수를 쓴 표기가 거듭제곱입니다. 2×2×2×2 처럼 길게 쓸 것을 2⁴ 로 줄여 적고 아래의 2 를 밑 위의 4 를 지수라고 부릅니다. 같은 밑이 다시 나오면 지수만 더해 주는 식의 규칙이 있어 이후 계산이 훨씬 간단해져요. 2³ 을 '2 곱하기 3' 으로 잘못 읽지 않도록 주의해야 합니다.,2⁴ = 2×2×2×2 = 16  /  5³ = 5×5×5 = 125,
N05,소인수분해,자연수,중1,N04;N03,자연수를 소수의 곱으로 분해,1 보다 큰 자연수를 더 이상 쪼갤 수 없는 작은 단위인 소수들의 곱으로 표현하는 작업이 소인수분해입니다. 예를 들어 12 = 2×2×3 이며 같은 소수가 반복되면 거듭제곱으로 묶어 12 = 2²·3 으로 적습니다. 가장 작은 소수 2 부터 차례대로 나누어 떨어지면 계속 나누고 더 이상 나누어지지 않는 소수가 남을 때까지 반복해요. 이 과정을 익혀 두면 약수의 개수 최대공약수 최소공배수를 빠르게 구할 수 있어 모든 정수 단원의 기초가 됩니다.,12 = 2²·3   /   60 = 2²·3·5   /   18 = 2·3²,
F01,분수의 의미 (전체-부분),분수,초3,,전체에 대한 부분의 양,분수 a/b 는 전체를 똑같이 b 등분 했을 때 그 중 a 칸을 가져갔다는 뜻입니다. 분모 b 는 전체를 몇 조각으로 나누었는지 분자 a 는 그 중 몇 조각을 보고 있는지를 나타내요. 피자 한 판을 4 등분 했을 때 3 조각이 3/4 가 되는 식입니다. 분모와 분자의 의미를 거꾸로 외우는 학생이 많은데 분모는 '바닥에 깔리는 전체' 라고 기억하면 헷갈리지 않습니다.,3/4 = 전체를 4등분한 것 중 3개,"fraction-bar:3,4"
F02,약분,분수,초5,F01;N03,공약수로 분자·분모 나누기,분자와 분모를 같은 수(공약수) 로 동시에 나누어 분수의 모양을 더 간단하게 만드는 작업이 약분입니다. 6/8 의 분자 6 과 분모 8 을 모두 2 로 나누면 3/4 가 되는데 두 분수의 크기는 같지만 보기에 더 깔끔해져요. 더 이상 약분되지 않을 때까지 줄인 분수를 기약분수라 부르며 답은 보통 기약분수로 적습니다. 분자나 분모 중 한쪽만 나누는 실수가 매우 흔하니 항상 같은 수로 동시에 나누어야 한다는 점을 기억하세요.,6/8 → 분자분모를 2로 나눔 → 3/4,
F03,통분,분수,초5,F01;N03,공통분모로 분수를 맞추기,분모가 다른 분수들을 더하거나 빼려면 먼저 분모를 같은 수로 맞춰 주어야 하는데 이를 통분이라고 합니다. 분모들의 최소공배수를 새 분모로 정한 뒤 각 분수의 분자에도 같은 비율을 곱하면 크기는 변하지 않은 채 분모만 같아져요. 1/2 와 1/3 을 더하려면 분모 6 으로 통분해서 3/6 과 2/6 으로 바꾸면 됩니다. 통분 없이 분자끼리만 더해서 답을 구하는 실수가 매우 흔하니 분모가 다르면 무조건 먼저 통분하세요.,1/2 와 1/3 → 최소공배수 6 → 3/6 와 2/6,
F04,분수의 덧셈·뺄셈,분수,초5,F03,통분 후 분자 덧셈,분모가 같으면 분자만 더하거나 빼고 분모는 그대로 둡니다. 분모가 다르면 먼저 통분으로 분모를 맞춘 뒤 분자끼리만 계산해요. 1/2 + 1/3 처럼 분모가 다른 경우 분모 6 으로 통분해 3/6 + 2/6 = 5/6 이 됩니다. 분모도 같이 더하는 잘못이 가장 흔한 실수이고 답을 적은 후 약분이 가능한지 한 번 더 확인하는 습관이 좋아요.,1/2 + 1/3 = 3/6 + 2/6 = 5/6,
F05,분수의 곱셈·나눗셈,분수,초5-6,F02;F01,역수 개념과 약분 활용,분수의 곱셈은 분자끼리 분모끼리 각각 곱하면 됩니다. 나눗셈은 뒤 분수의 분자와 분모를 뒤집은 역수를 곱셈으로 바꾸어 계산해요. 즉 ÷ 2/3 은 × 3/2 로 바꿔서 처리합니다. 곱하기 전에 분자와 분모 사이에 약분이 가능한지 확인하면 계산이 훨씬 쉬워지고 큰 수가 나오는 것을 막을 수 있어요. 곱셈에서 통분을 해야 한다고 착각하는 학생이 많은데 곱셈에서는 통분이 필요 없다는 점을 기억하세요.,2/3 × 5/4 = 10/12 = 5/6   /   2/3 ÷ 4/9 = 2/3 × 9/4 = 3/2,
F06,소수↔분수 변환,분수·소수,초6,F02,소수를 분수로 분수를 소수로,소수는 분모가 10 100 1000 같은 수의 분수로 다시 적을 수 있고 약분하면 기약분수가 됩니다. 0.75 는 75/100 이고 약분하면 3/4 가 되는 식이에요. 반대로 분수를 소수로 바꾸려면 분자를 분모로 직접 나누면 됩니다. 1/4 = 1÷4 = 0.25 처럼요. 자릿수의 의미를 헷갈려 0.75 를 75/10 으로 잘못 적는 실수가 흔하니 소수점 아래 자릿수만큼 0 의 개수를 맞춰야 한다는 점을 기억하세요.,0.75 = 75/100 = 3/4   /   1/4 = 1÷4 = 0.25,"fraction-bar:3,4"
F07,순환소수,분수·소수,중2,F06,같은 숫자가 반복되는 무한소수를 분수로 변환,같은 숫자가 끝없이 반복되는 무한소수를 순환소수라 하고 반복되는 부분을 순환마디라 합니다. 순환마디 위에 점을 찍어 0.3̇ 0.1̇2̇ 처럼 표시해요. 모든 순환소수는 분수로 다시 쓸 수 있어 0.3̇ = 1/3 0.1̇2̇ = 12/99 = 4/33 처럼 분모를 9 99 999 등으로 두고 약분하면 됩니다. 분모에 9 가 몇 번 들어가는지는 순환마디의 자릿수와 같다고 기억하면 편해요.,0.3̇ = 1/3   /   0.1̇2̇ = 12/99 = 4/33,
I01,음수의 의미와 수직선,정수,중1,,수직선과 부호의 의미,0 보다 작은 수에 -(빼기) 부호를 붙여 음수로 적습니다. 수직선 위에서 0 의 오른쪽이 양수 왼쪽이 음수이고 오른쪽으로 갈수록 큰 수예요. 그래서 -2 와 -5 를 비교하면 0 에서 더 가까운 -2 가 더 큰 수가 됩니다. 절댓값이 큰 음수가 더 큰 수라고 착각하는 실수를 가장 많이 하니 항상 수직선을 떠올려 비교하세요.,-3은 0의 왼쪽 3칸 위치   /   -5 < -2 (수직선 오른쪽이 큼),"number-line:-5,5,-2"
I02,정수의 덧셈·뺄셈,정수,중1,I01,부호가 다른 수의 합·차,부호가 같은 두 수를 더할 때는 절댓값을 더한 뒤 공통 부호를 그대로 붙여요. (-3)+(-5) 는 |3|+|5|=8 에 음수 부호를 붙여 -8 입니다. 부호가 다르면 절댓값이 큰 수에서 작은 수를 빼고 큰 쪽 부호를 붙이며 7-10 은 |10|-|7|=3 에 음수 부호로 -3 이에요. 빼기는 부호를 바꾸어 더하기로 고치면 더 안전한데 -5-(-3) = -5+3 = -2 처럼 처리하면 부호 실수를 줄일 수 있습니다.,(-3)+(-5)=-8   /   7-10=-3   /   -5-(-3) = -5+3 = -2,
I03,정수의 곱셈·나눗셈,정수,중1,I02,부호 규칙 (음×음=양),부호 규칙을 먼저 정한 뒤 절댓값끼리 곱하거나 나누면 됩니다. 양수×양수 = 양수 음수×양수 = 음수 음수×음수 = 양수 라는 세 규칙만 외우면 충분해요. 음수의 개수가 짝수이면 결과는 양수 홀수이면 음수입니다. (-2)³ 은 음수가 3 번 곱해져 음수 즉 -8 이지만 (-2)² 은 음수가 2 번이라 양수 4 가 되는 차이를 자주 헷갈리니 주의하세요.,(-3)×(-4)=12   /   -12÷(-4)=3   /   (-2)³=-8,
I04,절댓값,정수,중1,I01,수직선에서 0까지의 거리,어떤 수가 수직선 위에서 0 으로부터 떨어진 거리를 그 수의 절댓값이라 하고 |a| 로 적습니다. 거리는 음수일 수 없으므로 절댓값은 항상 0 또는 양수예요. |-7| = 7 |3| = 3 |0| = 0 처럼 부호만 떼낸다고 생각하면 쉬워요. |x|=5 처럼 변수의 절댓값이 주어지면 x 는 5 일 수도 있고 -5 일 수도 있다는 점을 잊지 마세요.,|-7|=7   /   |3-8|=|-5|=5   /   |x|=5 인 x는 5 또는 -5,"number-line:-5,5,3,-3"
