문제ID,점검개념ID,난이도,유형,용도,문제,정답,해설,오답1,약점1,오답해설1,오답2,약점2,오답해설2,오답3,약점3,오답해설3,오답4,약점4,오답해설4,그림
Q484,B01,3,개념,학습,-4 ≤ x 와 x ≥ -4 는 같은 의미인가?,예,좌우만 바꿔 적은 같은 부등식,아니오,B01,방향만 다르게 적은 같은 부등식,x = -4 일 때만,B01,항상 같은 의미,x 가 자연수일 때만,B01,변수 종류와 무관,모름,B01,좌우 바꿔 쓴 같은 부등식,
Q485,B01,3,개념,학습,a > b 일 때 -a 와 -b 의 대소 관계는?,-a < -b,양변에 -1 을 곱하면 방향 뒤집힘,-a > -b,B01,방향 뒤집기 빼먹음,-a = -b,B01,원래 a > b 이므로 같지 않음,관계 알 수 없음,B01,음수 곱·나눔 규칙으로 결정 가능,-a < b,B01,-1 을 한쪽에만 적용함,
Q1352,B01,3,응용,학습,a < 0 이고 b < 0 일 때 ab 와 0 의 대소 관계는?,ab > 0,음수×음수 = 양수 이므로 ab > 0,ab < 0,B01,음수×음수 = 음수로 잘못 판단,ab = 0,B01,음수끼리의 곱이 0 이 된다고 오해,알 수 없다,B01,"a, b 의 구체적 값을 모르면 알 수 없다고 오해 (부호만으로 판단 가능)",ab ≤ 0,B01,음수×음수 = 음수 또는 0 이라고 잘못 이해,
Q1354,B01,3,응용,학습,a > b > 0 일 때 1/a 와 1/b 의 대소 관계는?,1/a < 1/b,a > b > 0 이면 양변을 양수 ab 로 나눠도 방향 유지: 1/b > 1/a,1/a > 1/b,B01,a > b 이면 역수도 1/a > 1/b 로 동일 방향이라고 잘못 이해,1/a = 1/b,B01,역수를 취하면 같아진다고 오해,알 수 없다,B01,역수의 대소 관계는 알 수 없다고 오해,1/a ≥ 1/b,B01,방향은 반대이나 등호를 추가하여 잘못 표현,
Q1355,B01,3,응용,학습,a > b 이면 -3a+1 과 -3b+1 의 대소 관계는?,-3a+1 < -3b+1,"a > b 의 양변에 -3 을 곱하면 방향이 바뀌어 -3a < -3b, 양변에 1 을 더해도 방향 유지: -3a+1 < -3b+1",-3a+1 > -3b+1,B01,-3 을 곱할 때 부등호 방향이 바뀐다는 성질을 모름,-3a+1 = -3b+1,B01,변형하면 양변이 같아진다고 오해,알 수 없다,B01,음수를 곱할 때 부등호 방향 규칙을 모름,-3a+1 ≥ -3b+1,B01,방향은 반대이나 등호를 추가하여 잘못 표현,
Q2140,B01,3,개념,학습,"x < y < 0일 때, x²과 y²의 대소 관계는?",x² > y²,x < y < 0이면 |x| > |y|이고 두 값 모두 양수이므로 x² > y²이다.,x² < y²,B01,x < y이면 x² < y²로 잘못 생각하는 오류,x² = y²,B01,제곱하면 절댓값이 같아진다고 오해하는 경우,비교할 수 없다,B01,음수 영역에서의 제곱 관계를 모르는 경우,x² ≤ y²,B01,등호 가능성을 추가하는 오류,
Q2143,B01,3,개념,학습,"a > 0, b > 0이고 a > b일 때, a²과 b²의 대소 관계는?",a² > b²,a > b > 0이므로 a² > ab > b²이 되어 a² > b²이다.,a² < b²,B01,제곱하면 더 작은 수가 더 크게 된다고 착각하는 오류,a² = b²,B01,제곱하면 값이 같아진다고 오해하는 경우,비교할 수 없다,B01,양수 영역에서 제곱 관계를 모르는 경우,a² ≥ b²,B01,"등호를 추가하는 오류 (a>b이면 a²>b², 등호 없음)",
Q2145,B01,3,응용,학습,"a < b일 때, 2a+5와 2b+5의 대소 관계는?",2a+5 < 2b+5,"a < b의 양변에 양수 2를 곱하면 2a < 2b, 여기에 5를 더하면 2a+5 < 2b+5",2a+5 > 2b+5,B01,양수 2를 곱할 때 부등호가 뒤집힌다고 오해하는 실수,2a+5 = 2b+5,B01,같은 상수를 더하면 양변이 같아진다는 오해,2a+5 ≥ 2b+5,B01,2를 곱한 후 등호가 추가된다는 혼동,비교할 수 없다,B01,문자 계수 변환 후 대소 관계를 파악하지 못하는 경우,
Q2930,B01,3,계산,학습,"1 < a < 3이고 2 < b < 5일 때, a + b의 범위는?",3 < a + b < 8,"각 부등식의 최솟값/최댓값을 더하면 1+2<a+b<3+5, 즉 3<a+b<8.",2 < a + b < 5,B01,b의 범위만 사용하는 실수.,1 < a + b < 3,B01,a의 범위만 사용하는 실수.,3 ≤ a + b ≤ 8,B01,등호를 잘못 포함.,3 < a + b ≤ 8,B01,한쪽 등호만 잘못 포함.,
Q2932,B01,3,계산,학습,"-1 < a < 2이고 -3 < b < 1일 때, a - b의 범위는?",-2 < a - b < 5,"-b의 범위는 -1<-b<3이므로 a-b의 범위는 -1-1<a-b<2+3, 즉 -2<a-b<5.",-4 < a - b < 3,B01,b의 부호를 반전하지 않고 직접 뺌.,-2 < a - b < 3,B01,최댓값 계산 실수.,-1 < a - b < 5,B01,최솟값 계산 실수.,-4 < a - b < 5,B01,최솟값 계산만 틀림.,
