문제ID,점검개념ID,난이도,유형,용도,문제,정답,해설,오답1,약점1,오답해설1,오답2,약점2,오답해설2,오답3,약점3,오답해설3,오답4,약점4,오답해설4,그림
Q5278,C03,1,계산,학습,"다섯 학생의 점수가 2, 5, 4, 7, 2점일 때 평균 점수는?",4점,평균 = (2+5+4+7+2) ÷ 5 = 20 ÷ 5 = 4점,2점,C03,최빈값(가장 많이 나온 값)을 평균으로 혼동함,7점,C03,최댓값을 평균으로 혼동함,5점,C03,정렬 없이 가운데 위치 값을 평균으로 혼동함,20점,C03,합산 결과를 그대로 평균으로 씀,
Q5279,C03,1,계산,학습,"다음 자료를 크기 순으로 나열할 때 중앙값을 구하여라: 8, 3, 5, 7, 1",5,"크기 순으로 나열하면 1, 3, 5, 7, 8. 가운데 값이 5이므로 중앙값=5",4.8,C03,중앙값 대신 평균 (8+3+5+7+1)÷5=4.8을 씀,8,C03,원래 자료에서 가운데 위치 값(3번째=5가 아닌 8)을 씀,3,C03,정렬 후 두 번째 값을 중앙값으로 혼동함,7,C03,정렬 후 네 번째 값을 중앙값으로 혼동함,
Q5280,C03,1,계산,학습,"자료 3, 5, 3, 7, 5, 3, 9에서 최빈값은?",3,3이 세 번으로 가장 많이 나오므로 최빈값=3,5,C03,두 번 나온 5를 최빈값으로 혼동함 (3은 세 번),9,C03,가장 큰 값을 최빈값으로 혼동함,3과 5,C03,3번과 2번으로 빈도가 다른데 둘 다 최빈값으로 혼동함,5.14,C03,평균을 최빈값으로 혼동함,
Q5476,C03,1,계산,학습,"자료 4, 7, 2, 9, 5의 중앙값은?",5,"크기 순으로 나열하면 2, 4, 5, 7, 9이고 가운데(3번째) 값이 5이다.",5.4,C03,중앙값 대신 평균 (4+7+2+9+5)÷5=27÷5=5.4를 씀,2,C03,정렬 후 첫 번째 값을 중앙값으로 혼동함,7,C03,정렬 안 하고 원래 자료의 3번째 값(7)을 씀,9,C03,최댓값을 중앙값으로 혼동함,
Q5477,C03,1,계산,학습,"자료 1, 4, 4, 7, 9에서 최빈값은?",4,4가 두 번으로 가장 많이 나오므로 최빈값=4이다.,5,C03,평균 (1+4+4+7+9)÷5=5를 최빈값으로 혼동함,9,C03,최댓값을 최빈값으로 혼동함,1,C03,최솟값을 최빈값으로 혼동함,없음,C03,자료 개수가 5개이면 최빈값이 없다고 오해함,
Q5478,C03,1,계산,학습,"자료 2, 4, 6, 8, 10, 14에서 중앙값은?",7,짝수 개(6개) 자료이므로 3번째와 4번째 값의 평균 = (6+8)÷2 = 7,6,C03,짝수 개에서 3번째 값(6)만을 중앙값으로 씀,8,C03,짝수 개에서 4번째 값(8)만을 중앙값으로 씀,7.33,C03,중앙값 대신 평균 (2+4+6+8+10+14)÷6≈7.33을 씀,14,C03,최댓값을 중앙값으로 혼동함,
Q5674,C03,1,계산,학습,"자료 3, 7, 5, 9, 1의 평균은?",5,(3+7+5+9+1)/5 = 25/5 = 5,7,C03,평균을 자료의 중앙값으로 혼동함,25,C03,합산 결과 25를 평균으로 씀,3,C03,가장 작은 값을 평균으로 씀,9,C03,가장 큰 값을 평균으로 씀,
Q5675,C03,1,개념,학습,"자료 1, 3, 5, 7, 9를 크기 순으로 나열했을 때 중앙값은?",5,5개 자료에서 중앙값은 3번째 값 = 5,4,C03,평균=(1+3+5+7+9)/5=5를 3번째 값으로 혼동함 (실제 평균도 5이지만 개념 혼동),7,C03,자료 수 5개에서 4번째 값을 중앙값으로 혼동함,3,C03,2번째 값을 중앙값으로 혼동함,1,C03,첫 번째 값을 중앙값으로 혼동함,
Q5676,C03,1,개념,학습,"자료 4, 4, 7, 7, 7, 9에서 최빈값은?",7,"4는 2번, 7은 3번 등장 → 가장 많이 나온 7이 최빈값",4,C03,두 번째로 많이 등장한 값을 최빈값으로 씀,4와 7 모두,C03,등장 횟수가 다른데 두 값 모두를 최빈값으로 혼동함,6,C03,평균=(4+4+7+7+7+9)/6=6.33…을 최빈값으로 혼동함,9,C03,가장 큰 값을 최빈값으로 혼동함,
Q5870,C03,1,계산,학습,"자료 6, 8, 3, 9, 4의 평균은?",6,평균 = (6+8+3+9+4) ÷ 5 = 30 ÷ 5 = 6,8,C03,두 번째로 큰 값(8)을 평균으로 혼동함,9,C03,최댓값(9)을 평균으로 혼동함,5,C03,자료의 개수(5)를 평균으로 혼동함,30,C03,합계(30)를 평균으로 혼동함,
