문제ID,점검개념ID,난이도,유형,용도,문제,정답,해설,오답1,약점1,오답해설1,오답2,약점2,오답해설2,오답3,약점3,오답해설3,오답4,약점4,오답해설4,그림
Q5443,D08,1,개념,학습,"△ABC에서 DE//BC이고 AD=2, DB=4, AE=3이다. EC의 길이는?",6,DE//BC이면 AD:DB=AE:EC이므로 2:4=3:EC → EC=6.,3,D08,AD와 AE의 값만 보고 EC=AE=3으로 착각했습니다.,4,D08,DB와 EC가 같다고 착각했습니다.,12,D08,AD×DB=2×4=8... 아니면 AE×DB=3×4=12로 곱을 잘못 적용했습니다.,2,D08,AD와 EC가 같다고 착각했습니다.,
Q5444,D08,1,개념,학습,"△ABC에서 DE//BC이고 AD=3, AB=9이다. AD:DB를 간단히 나타내면?",1:2,DB=AB-AD=9-3=6. AD:DB=3:6=1:2.,1:3,D08,AD:AB=3:9=1:3을 AD:DB로 착각했습니다.,3:9,D08,약분하지 않고 그대로 답했습니다.,1:6,D08,DB=6으로 계산 후 비율을 잘못 구했습니다.,2:1,D08,비의 순서를 거꾸로 답했습니다.,
Q5445,D08,1,개념,학습,△ABC에서 DE//BC이고 AD:DB=3:2이면 AE:AC를 간단히 나타내면?,3:5,DE//BC이면 AD:AB=AE:AC. AD:AB=3:(3+2)=3:5이므로 AE:AC=3:5.,3:2,D08,AE:AC=AD:DB로 착각했습니다.,2:5,D08,DB:AB=2:5를 AE:AC로 잘못 답했습니다.,1:2,D08,비를 약분하여 잘못 계산했습니다.,3:7,D08,잘못된 비를 계산했습니다.,
Q5641,D08,1,계산,학습,"△ABC에서 DE//BC이고 AD=3, DB=3이다. AE:AC를 간단히 나타내면?",1:2,DE//BC이므로 AD:AB=AE:AC. AB=6이므로 AE:AC=3:6=1:2,3:3,D08,약분하지 않음,1:3,D08,AD:DB를 AE:AC로 혼동함,2:1,D08,순서를 바꿈,3:6,D08,약분하지 않고 그대로 씀,
Q5642,D08,1,계산,학습,△ABC에서 DE//BC이고 AD:AB=2:5이다. AE:EC를 나타내면?,2:3,"AE:AC=AD:AB=2:5이므로 EC=AC-AE=3, AE:EC=2:3",2:5,D08,AE:AC를 AE:EC로 혼동함,5:2,D08,순서를 바꿈,3:5,D08,EC:AC를 답으로 씀,2:7,D08,AE:EC=2:(5+2)로 잘못 계산함,
Q5643,D08,1,계산,학습,"△ABC에서 DE//BC이고 AD=1, DB=3이다. AE:AC를 나타내면?",1:4,AD:AB=1:(1+3)=1:4이므로 AE:AC=1:4,1:3,D08,AD:DB를 AE:AC로 혼동함,3:4,D08,DB:AB=3:4를 AE:AC로 씀,1:2,D08,AD:AB를 잘못 계산함,4:1,D08,순서를 바꿈,
Q5839,D08,1,계산,학습,"△ABC에서 DE//BC이고 AD=4, AB=12이면 AD:AB를 간단히 나타내면?",1:3,AD:AB=4:12=1:3입니다.,4:12,D08,기약비로 나타내지 않았습니다.,1:2,D08,AB=12가 아닌 AB=8로 잘못 읽었습니다.,3:1,D08,비의 방향을 반대로 나타냈습니다.,1:4,D08,AD:DB=1:2를 AD:AB로 착각했습니다.,
Q5840,D08,1,계산,학습,△ABC에서 DE//BC이고 AD:DB=2:5이면 AE:AC를 나타내면?,2:7,AB=AD+DB=7이므로 AE:AC=AD:AB=2:7입니다.,2:5,D08,AD:DB를 AE:AC로 직접 적용했습니다.,5:7,D08,EC:AC=5:7을 AE:AC로 착각했습니다.,1:2,D08,비를 임의로 환산하여 1:2를 도출했습니다.,2:3,D08,잘못된 계산으로 2:3을 도출했습니다.,
Q5841,D08,1,계산,학습,"△ABC에서 DE//BC이고 AD=5, DB=5이면 AE:EC를 나타내면?",1:1,AD:DB=5:5=1:1이므로 AE:EC=1:1입니다.,5:5,D08,기약비로 나타내지 않았습니다.,1:2,D08,AD:AB=5:10=1:2를 AE:EC로 착각했습니다.,2:1,D08,비의 방향을 반대로 나타냈습니다.,5:10,D08,AD:AB를 기약하지 않고 그대로 작성했습니다.,
Q6713,D08,1,개념,학습,"△ABC에서 DE//BC이고 AD=2, DB=6이면 AE:EC를 나타내면?",1:3,DE//BC이면 AD:DB=AE:EC=2:6=1:3.,2:6,N03,약분하지 않아 간단한 비가 아닙니다.,1:4,D08,AE:AC(전체)로 잘못 구했습니다.,3:1,D08,비의 순서를 뒤집었습니다.,2:8,D08,잘못된 값으로 비를 구했습니다.,
Q6714,D08,1,개념,학습,△ABC에서 DE//BC이고 AD:AB=1:4이면 DE:BC를 나타내면?,1:4,DE//BC이면 DE:BC=AD:AB=1:4.,1:3,D08,AD:DB=1:3으로 잘못 구했습니다.,1:16,D07,넓이비(제곱)를 잘못 적용했습니다.,4:1,D08,비의 순서를 뒤집었습니다.,1:2,D08,잘못 계산했습니다.,
Q6715,D08,1,계산,학습,"△ABC에서 DE//BC이고 AD=5, AB=15, AE=6이면 EC의 길이는?",12,AD:AB=1:3이므로 AE:EC=1:2 → EC=6×2=12.,6,D08,AE=EC로 착각했습니다.,3,D08,비를 잘못 계산했습니다.,9,D08,잘못된 비율을 적용했습니다.,18,D08,6×3=18로 잘못 계산했습니다.,
