문제ID,점검개념ID,난이도,유형,용도,문제,정답,해설,오답1,약점1,오답해설1,오답2,약점2,오답해설2,오답3,약점3,오답해설3,오답4,약점4,오답해설4,그림
Q179,E03,3,방정식,학습,x² - 6x = 0 의 해,x = 0 또는 x = 6,x(x-6) = 0,x = 6 만,P04,x = 0 도 해. x(x-6)=0 이면 x=0 또는 x=6,x = -6,E03,부호 잘못. x-6=0 → x=6,x = 6 또는 x = -6,P04,x²=36 과 헷갈림. 우리는 x²=6x,x = 3 또는 x = -3,P04,x² = 9 와 헷갈림,"parabola:1,-6,0"
Q188,E03,3,방정식,학습,2x² - 8x = 0 의 해,x = 0 또는 x = 4,2x(x-4) = 0,x = 4 만,P04,x = 0 누락,x = -4,E03,부호. 2x(x-4) = 0 → x=0 또는 4,x = 8,E03,어디서? 2x² = 8x → x = 4,x = 0 또는 x = -4,P04,x-4 부호 잘못,"parabola:2,-8,0"
Q543,E03,3,계산,학습,2x² + 7x + 3 = 0 의 해는?,x = -1/2 또는 x = -3,(2x+1)(x+3) = 0,x = 1/2 또는 x = 3,E03,부호 반대,x = -2 또는 x = -3,E03,분수 처리 잘못,x = -1 또는 x = -3,E03,2x+1 → x+1 잘못 봄,x = -7 또는 x = -3,E03,계수 그대로,"parabola:2,7,3"
Q544,E03,3,계산,학습,x² - 10x + 25 = 0 의 해는?,x = 5 (중근),(x-5)² = 0,x = -5 (중근),E03,부호 반대,x = 5 또는 x = -5,E03,중근을 ±로,x = 5 또는 x = 25,E03,상수항 봄,x = 10,E03,계수 그대로,"parabola:1,-10,25"
Q545,E03,3,계산,학습,6x² - x - 1 = 0 의 해는?,x = 1/2 또는 x = -1/3,(2x-1)(3x+1) = 0,x = -1/2 또는 x = 1/3,E03,부호 반대,x = 2 또는 x = -3,E03,분수 처리 잘못,x = 1 또는 x = -1,E03,분모 무시,x = 1/6 또는 x = -1/6,E03,대충,
Q1413,E03,3,방정식,학습,4x² - 9 = 0 의 해는?,x=3/2 또는 x=-3/2,(2x-3)(2x+3)=0. x=3/2 또는 x=-3/2,x=3 또는 x=-3,E03,4x²=9에서 x²=9로 잘못 계산하여 x=±3 선택,x=9/4 또는 x=-9/4,E03,x²=9/4에서 √(9/4)=3/2인데 제곱근을 취하지 않고 x=9/4 선택,x=2/3 또는 x=-2/3,E03,3/2의 역수인 2/3을 선택하는 실수,x=3/2,E03,양의 해만 선택하고 음의 해 x=-3/2를 누락,
Q1414,E03,3,방정식,학습,4x² - 4x + 1 = 0 의 해는?,x=1/2,(2x-1)²=0. 2x-1=0. x=1/2 (중근),x=1/2 또는 x=-1/2,E03,(2x-1)²=0을 (2x-1)(2x+1)=0으로 오해하여 x=±1/2 선택,x=1,E03,2x-1=0에서 2x=1인데 2로 나누지 않고 x=1로 선택,해 없음,E03,완전 제곱식이 0과 같을 때 해가 없다고 오해하여 해 없음 선택,x=4 또는 x=1,P07,4x²-4x+1을 (x-4)(x-1)=0으로 잘못 인수분해,
Q1415,E03,3,방정식,학습,"x² + bx + 6 = 0의 두 정수 근의 합이 7일 때, b의 값은?",-7,"두 근을 α, β라 하면 α+β=7, αβ=6. 합이 7이고 곱이 6인 정수: 1,6. b=-(α+β)=-7",7,E03,b=-(두 근의 합)=-7인데 부호 실수로 b=7 선택,-6,E03,b와 상수항을 혼동하여 두 근의 곱=6이므로 b=-6 선택,6,E03,b=상수항=6으로 잘못 선택,-1,P07,합이 7이고 곱이 6인 두 수를 찾지 않고 상수항 6의 인수 1로만 판단,
Q2202,E03,3,인수분해,학습,x(2x - 5) = 3의 해는?,x = -1/2 또는 x = 3,2x² - 5x - 3 = 0으로 변형 후 (2x + 1)(x - 3) = 0이므로 x = -1/2 또는 x = 3,x = 1/2 또는 x = -3,E03,(2x - 1)(x + 3) = 0으로 잘못 인수분해하여 부호 오류,x = -1/2 또는 x = -3,E03,x - 3 = 0의 해를 x = -3으로 부호 오류,x = 0 또는 x = 5/2,E03,우변 3을 무시하고 x(2x - 5) = 0으로 잘못 풀이,x = 1 또는 x = 3/2,E03,(x - 1)(2x - 3) = 0으로 잘못 인수분해,
Q2203,E03,3,응용,학습,"이차방정식 x² + ax - 10 = 0의 한 근이 2일 때, 나머지 한 근을 구하면?",-5,x = 2를 대입하면 4 + 2a - 10 = 0이므로 a = 3. x² + 3x - 10 = 0을 인수분해하면 (x-2)(x+5) = 0이므로 나머지 근은 -5,5,E03,인수분해 결과 (x-2)(x-5) = 0으로 부호 오류,-3,E03,a = 3을 나머지 근으로 혼동,10,E03,상수항 -10의 절댓값을 나머지 근으로 혼동,-2,E03,이미 알고 있는 근 2의 부호만 바꿔 나머지 근으로 착각,
