문제ID,점검개념ID,난이도,유형,용도,문제,정답,해설,오답1,약점1,오답해설1,오답2,약점2,오답해설2,오답3,약점3,오답해설3,오답4,약점4,오답해설4,그림
Q039,F06,1,계산,진단,0.75 를 기약분수로 나타내시오,3/4,75/100 → 약분,75/10,F06,자릿수 처리 실수. 0.75 = 75/100,7.5/10,F06,분자에 소수가 들어갔어요. 정수만 사용,3/40,F02,약분이 잘못됐어요. 분모도 함께 약분,75/100,F02,약분을 안 했어요. 기약분수로 줄여야,
Q040,F06,1,계산,학습,1/4 를 소수로 나타내시오,0.25,1÷4,0.4,F06,4로 나누지 않고 1.4 식으로 처리,1.4,F06,분자분모를 그대로 적은 듯,0.14,F06,자릿수 잘못,1.25,F06,5/4 의 값. 분자분모 거꾸로,"fraction-bar:1,4"
Q606,F06,1,계산,학습,0.5 를 기약분수로 나타내면?,1/2,5/10 = 1/2,5/10,F06,약분 안 함,1/5,F06,분모 잘못,2/1,F06,뒤집힘,5,F06,단위 무시,
Q607,F06,1,계산,학습,1/2 를 소수로 나타내면?,0.5,1÷2 = 0.5,0.2,F06,계산 잘못,1.2,F06,대충,2,F06,뒤집힘,0.12,F06,잘못,"fraction-bar:1,2"
Q608,F06,1,계산,학습,0.2 를 기약분수로 나타내면?,1/5,2/10 = 1/5,2/10,F06,약분 안 함,1/2,F06,분모 잘못,5/1,F06,뒤집힘,2/5,F06,잘못,
Q1476,F06,1,계산,학습,1.6을 기약분수로 나타내면?,8/5,"1.6 = 16/10이고 GCD(16, 10) = 2이므로 16/10 = 8/5",16/10,F02,16/10으로 변환만 하고 약분을 빠뜨리는 실수,8/10,F02,분자만 2로 나누고 분모는 그대로 두는 잘못된 약분,1/6,F06,소수 1.6을 '1 분의 6' 형태로 잘못 읽는 실수,6/5,F06,정수 부분 1을 빠뜨리고 0.6만 변환하여 6/5로 착각,
Q1477,F06,1,계산,학습,5/4를 소수로 나타내면?,1.25,5 ÷ 4 = 1.25. 또는 5/4 = 125/100 = 1.25,0.54,F06,분자와 분모 숫자를 그대로 이어 붙여 0.54로 쓰는 실수,0.8,F06,5÷4 대신 4÷5 = 0.8로 뒤집어 계산하는 실수,1.4,F06,"5/4를 5를 정수 부분, 4를 소수로 착각해 1.4로 쓰는 실수",0.45,F06,분자·분모를 소수점 기준으로 각각 배치해 0.45로 오기,
Q1478,F06,1,계산,학습,0.36을 기약분수로 나타내면?,9/25,"0.36 = 36/100, GCD(36, 100) = 4이므로 36/100 = 9/25",36/10,F06,소수 두 자리인데 분모를 10으로 잘못 정하는 실수,36/100,F02,분수로 변환만 하고 약분을 빠뜨리는 실수,18/50,F02,GCD=2로만 약분하고 완전히 약분하지 않는 실수,9/50,F02,"분모는 /2, 분자는 /4로 서로 다른 수로 나누는 실수",
Q2266,F06,1,계산,학습,0.32를 기약분수로 나타내면?,8/25,0.32 = 32/100 = 8/25,32/10,F06,소수점 아래 자리수를 1자리로 잘못 셈한 경우,32/100,F06,약분하지 않은 경우,16/50,F06,절반까지만 약분한 경우,8/10,F06,분모를 100이 아닌 10으로 착각한 경우,
Q2267,F06,1,계산,학습,4/5를 소수로 나타내면?,0.8,4 ÷ 5 = 0.8,0.45,F06,분자와 분모를 이어붙인 경우,0.4,F06,분자만 소수화한 경우,4.5,F06,소수점 위치를 잘못 잡은 경우,8.0,F06,분모 5를 무시하고 분자×2로 계산한 경우,
Q2268,F06,1,계산,학습,0.56을 기약분수로 나타내면?,14/25,0.56 = 56/100 = 14/25,56/100,F06,약분하지 않은 경우,28/50,F06,절반까지만 약분한 경우,56/10,F06,소수점 자리수를 1자리로 잘못 셈한 경우,7/10,F06,잘못된 약분으로 분모를 10으로 계산한 경우,
Q2270,F06,1,계산,학습,0.16을 기약분수로 나타내면?,4/25,0.16 = 16/100 = 4/25,16/10,F06,소수점 자리수를 1자리로 잘못 셈한 경우,16/100,F06,약분하지 않은 경우,8/50,F06,절반까지만 약분한 경우,1/6,F06,0.16을 1/6으로 잘못 연상한 경우,
Q2273,F06,1,계산,학습,3/20을 소수로 나타내면?,0.15,3 ÷ 20 = 0.15 (3 × 5 / 100 = 15/100),0.3,F06,분자만 소수화한 경우,0.03,F06,소수점을 두 자리 앞으로 잘못 잡은 경우,3.2,F06,분수 표기를 소수점으로 직접 변환한 경우,0.32,F06,분자와 분모를 이어붙인 경우,
