문제ID,점검개념ID,난이도,유형,용도,문제,정답,해설,오답1,약점1,오답해설1,오답2,약점2,오답해설2,오답3,약점3,오답해설3,오답4,약점4,오답해설4,그림
Q733,G03,3,응용,학습,"삼각형 ABC에서 A(0, 0), B(4, 0), C(2, 6)일 때 변 AB의 중점 M의 좌표는?","(2, 0)","M = ((0+4)/2, (0+0)/2) = (2, 0).","(3, 3)",G03,A와 C의 중점을 구하는 실수,"(2, 6)",G03,꼭짓점 C를 중점으로 혼동,"(1, 0)",G03,x좌표를 (0+4)/2=2가 아닌 4/4=1로 계산,"(4, 3)",G03,"중점 공식을 잘못 적용해 x=4, y=3으로 계산",
Q734,G03,3,응용,학습,"두 점 A(-2, 1)과 B(6, 5)의 중점을 (a, b)라 할 때 a+b의 값은?",5,"a = (-2+6)/2 = 2, b = (1+5)/2 = 3. a+b = 2+3 = 5.",6,G03,"a=2, b=3이지만 b를 4로 잘못 계산해 a+b=6",7,G03,a+b = (sum of all coords)/2 = (-2+6+1+5)/2=5가 아닌 다른 계산,4,G03,a=(-2+6)/2=2를 1로 계산하는 실수,10,G03,a와 b를 더하지 않고 4×2를 답으로 쓰는 실수,
Q735,G03,3,응용,학습,"선분 PQ의 중점이 (0, 3)이고 P(2, 1)일 때 Q의 좌표는?","(-2, 5)","Qx = 2×0-2 = -2, Qy = 2×3-1 = 5. Q(-2, 5).","(2, 4)",G03,Q = 중점 + P로 더하는 실수,"(-2, 3)",G03,y좌표를 2×3-1=5가 아닌 3으로 중점 y좌표를 그대로 씀,"(0, 3)",G03,중점 좌표를 Q 좌표로 혼동,"(1, 2)",G03,"Qx=0-2=-2가 아닌 (0+2)/2=1, Qy=(3+1)/2=2로 계산",
Q1523,G03,3,계산,학습,"두 점 A(-3, 2)와 B(1, -2)의 중점 좌표는?","(-1, 0)","중점 = ((-3+1)/2, (2+(-2))/2) = (-2/2, 0/2) = (-1, 0)","(2, 4)",G03,"x 차이와 y 차이를 중점으로 착각해 (1-(-3), -2-2)=(4,-4)/2=(2,-2) 등으로 오답","(-2, -1)",G03,x좌표: (-3+1)/2=-2/2=-1인데 분모 2를 빠뜨리고 -2로 쓰는 실수,"(0, -1)",G03,x좌표와 y좌표를 바꿔 계산하는 실수,"(-3, 2)",G03,중점을 A의 좌표로 그대로 쓰는 실수,
Q1524,G03,3,응용,학습,"삼각형 ABC에서 A(0, 6), B(-3, 0), C(3, 0)일 때 꼭짓점 A에서 밑변 BC에 내린 수선의 발 H의 좌표는?","(0, 0)","BC는 x축(y=0). A에서 BC에 내린 수선은 A의 x좌표를 유지하며 y=0에 닿으므로 H = (0, 0)","(0, 6)",G03,수선의 발 대신 꼭짓점 A의 좌표를 쓰는 실수,"(-3, 0)",G03,수선의 발을 B의 좌표로 착각하는 실수,"(0, 3)",G03,A의 y좌표 6의 절반을 수선의 발의 y좌표로 착각하는 실수,"(3, 0)",G03,수선의 발을 C의 좌표로 착각하는 실수,
Q1525,G03,3,응용,학습,"두 점 A(1, y)와 B(3, 5)의 중점이 (2, 3)일 때 y의 값은?",1,"y좌표 중점: (y+5)/2 = 3이므로 y+5 = 6, y = 1",4,G03,y = 3×2-5가 아닌 3+1=4로 잘못 계산하는 실수,6,G03,y+5=6에서 y=6으로 잘못 읽는 실수,3,G03,y를 중점의 y좌표인 3으로 그대로 쓰는 실수,-1,G03,y = 5-2×3 = -1로 잘못 계산하는 실수,
Q2311,G03,3,응용,학습,"두 점 A(a, 2)와 B(6, b)의 중점이 (4, -1)일 때 a+b의 값은?",-2,"(a+6)/2=4 → a=2, (2+b)/2=-1 → b=-4. a+b=2+(-4)=-2",6,G03,b를 양수 4로 잘못 계산한 경우,2,G03,a만 구한 경우,-4,G03,b만 구한 경우,0,G03,b를 -2로 잘못 계산한 경우,
Q3097,G03,3,계산,학습,"두 점 A(1,4)와 B(7,1)을 2:1로 내분하는 점의 좌표는?","(5, 2)","내분점 공식: x=(2×7+1×1)/(2+1)=15/3=5, y=(2×1+1×4)/(2+1)=6/3=2. 답: (5,2)","(3, 3)",G03,"2:1이 아닌 1:2로 내분하여 x=(1×7+2×1)/3=3, y=(1×1+2×4)/3=3으로 계산","(4, 2.5)",G03,"중점 공식 ((1+7)/2, (4+1)/2)=(4, 2.5)를 사용하는 오류","(5, 4)",G01,y좌표를 A의 y좌표 4로 고정하고 x좌표만 계산하는 실수,"(2, 5)",G03,분자와 분모 순서를 반대로 적용하여 계산,
Q3100,G03,3,도형,학습,"평행사변형 ABCD에서 A(1,1), B(5,1), C(6,4)일 때 꼭짓점 D의 좌표는?","(2, 4)","평행사변형에서 AB→와 DC→가 같음. AB→=(4,0)이고 C(6,4)에서 D = C - AB→ = (6-4, 4-0) = (2, 4)","(7, 4)",G03,"DC→ = AB→ 대신 CD→ = AB→로 잘못 적용하여 C+(4,0)으로 계산","(2, 7)",G03,y좌표를 C의 y좌표 4에 AB의 y성분 3을 더해 7로 계산,"(3, 2)",G03,대각선 교점을 기준으로 잘못 계산하는 오류,"(4, 2)",G01,"D의 x, y좌표를 바꿔 쓰는 실수",
Q3103,G03,3,응용,학습,"삼각형 ABC에서 A(0,0), B(4,0), C(4,6)일 때 꼭짓점 A에서 변 BC의 중점을 잇는 선분(중선)의 길이는?",5,"BC의 중점 M = ((4+4)/2, (0+6)/2) = (4, 3). AM의 길이 = √((4-0)²+(3-0)²) = √(16+9) = √25 = 5",6,G03,BC의 길이 6을 중선 길이로 혼동,4,G03,AB의 길이 4를 중선 길이로 혼동,√52,G02,"A(0,0)에서 C(4,6)까지의 거리 √52를 중선 길이로 혼동",3,G03,중점 M의 y좌표 3만 읽어 답으로 내는 실수,
Q3105,G03,3,응용,학습,"두 점 A(2,3)과 B(8,7)의 중점 M에서 점 C(5,1)까지의 거리는?",4,"중점 M = ((2+8)/2, (3+7)/2) = (5, 5). MC = √((5-5)²+(5-1)²) = √(0+16) = 4",√52,G02,"A(2,3)에서 C(5,1)까지의 거리를 구하는 오류",√20,G02,"B(8,7)에서 C(5,1)까지의 거리를 구하는 오류",5,G03,"M의 좌표를 (5,5)로 구한 뒤 x좌표 5를 답으로 내는 실수",6,G03,M의 y좌표 5와 C의 y좌표 1의 차를 5+1=6으로 더하는 오류,
Q3892,G03,3,응용,학습,"삼각형 ABC의 무게중심이 G(3, 2)이고 A(1, 0), B(5, 4)일 때 꼭짓점 C의 좌표는?","(3, 2)","무게중심: (1+5+x_C)/3=3 → x_C=3, (0+4+y_C)/3=2 → y_C=2, C=(3, 2)","(6, 6)",G03,G좌표를 3배하여 C좌표로 착각,"(3, 6)",G03,y_C 계산 실수,"(4, 2)",G03,x_C 계산 실수,"(0, 0)",G03,G가 원점이라고 착각하여 계산,
Q3895,G03,3,도형,학습,"세 꼭짓점이 A(1, 5), B(5, 1), C(3, -3)인 삼각형의 넓이는?",12,신발끈 공식: |(1×1-5×5)+(5×(-3)-3×1)+(3×5-1×(-3))|/2=|-24-18+18|/2=12,8,G03,계산 실수로 다른 넓이 도출,16,G03,신발끈 공식 부호 처리 실수,18,G03,삼각형 넓이를 높이×밑변으로 잘못 계산,24,G03,÷2를 하지 않고 24를 답으로 사용,
Q4691,G03,3,계산,학습,"두 점 A(3, a)와 B(b, 7)의 중점이 M(-1, 4)일 때 ab의 값은?",-5,(3+b)/2=-1→b=-5. (a+7)/2=4→a=1. ab=1×(-5)=-5.,5,G03,ab=|1×(-5)|=5로 절댓값 취함.,-3,G03,"a=1, b=-3으로 잘못 계산.",7,G03,a와 b의 부호 오류로 잘못 계산.,-7,G03,"a=-1, b=7로 잘못 대입.",
Q4692,G03,3,도형,학습,"세 꼭짓점 A(0, 0), B(6, 0), C(0, 6)인 삼각형의 무게중심 G에서 꼭짓점 A까지의 거리는?",2√2,"G=((0+6+0)/3,(0+0+6)/3)=(2,2). GA=√(4+4)=√8=2√2.",√8,G03,2√2=√8임을 인식하지 못해 표현이 다름(동일한 답).,2,G03,"G=(2,2)에서 GA=2로 x좌표만 계산.",√12,G03,"G를 (2,2) 대신 (3,3)으로 잘못 계산해 GA=3√2.",√13,G03,G 좌표 계산 오류로 GA를 잘못 구함.,
