문제ID,점검개념ID,난이도,유형,용도,문제,정답,해설,오답1,약점1,오답해설1,오답2,약점2,오답해설2,오답3,약점3,오답해설3,오답4,약점4,오답해설4,그림
Q346,H09,1,개념,진단,y = 2/x 의 그래프가 있는 사분면은?,1·3 사분면,k>0 → 1·3 사분면,2·4 사분면,H09,k>0 → 1·3,모든 사분면,H09,k 부호로 정함,1·2 사분면,H09,잘못,3·4 사분면,H09,잘못,hyperbola:2
Q347,H09,1,개념,학습,y = -1/x 의 그래프가 있는 사분면은?,2·4 사분면,k<0 → 2·4 사분면,1·3 사분면,H09,k<0 일 때 2·4,1·2 사분면,H09,잘못,3·4 사분면,H09,잘못,모든 사분면,H09,k 부호,hyperbola:-1
Q348,H09,1,개념,학습,y = k/x 그래프의 점근선은?,x축과 y축,두 축이 점근선,x = 0 만,H09,둘 다,y = 0 만,H09,둘 다,원점,H09,점이 아닌 직선,y = x,H09,잘못,hyperbola:1
Q349,H09,1,계산,학습,y = 6/x 의 그래프가 점 (3 ?) 을 지날 때 ?,2,6/3 = 2,6,H09,잘못,3,H09,잘못,18,H09,곱,1/2,H09,거꾸로,hyperbola:6
Q867,H09,1,개념,학습,"y = k/x 에서 k > 0 일 때, x 와 y 의 곱 xy 의 값은?",k,y = k/x → xy = k. k > 0 이면 xy = k (양수 상수).,1,H09,xy = 1 로 모든 반비례 관계가 xy = 1 이라고 혼동,0,H09,그래프가 원점 근처를 지나므로 xy = 0 이라는 오해,x²,H09,xy = x × (k/x) 를 x × k = kx 로 잘못 전개,k/x²,H09,xy = x × (k/x) = k 대신 k/x² 로 잘못 계산,
Q870,H09,1,계산,학습,y = 10/x 의 그래프에서 x = 5 일 때 y 의 값은?,2,y = 10/5 = 2.,50,H09,y = 10/x 를 y = 10 × x 로 혼동해 10 × 5 = 50 계산,1/2,H09,y = x/10 = 5/10 = 1/2 으로 역수 혼동,5,H09,y = x = 5 로 혼동해 y = 5 로 답함,15,H09,y = 10+x = 10+5 = 15 로 나눗셈이 아닌 덧셈으로 혼동,
Q871,H09,1,개념,학습,y = k/x 의 그래프는 원점을 지나는가?,지나지 않는다,"x = 0 이면 분모가 0 이 되어 정의되지 않으므로 원점 (0, 0) 을 지나지 않는다.",지난다,H09,x = 0 을 대입할 수 있다고 혼동,k = 0 이면 지난다,H09,k = 0 이면 y = 0 이 되어 원점을 지난다고 착각하지만 k ≠ 0 이 전제,k > 0 이면 지나고 k < 0 이면 지나지 않는다,H09,k 의 부호에 따라 다르다고 오해,x > 0 인 경우에만 지난다,H09,원점이 x > 0 에 있다는 오개념,
Q1657,H09,1,개념,학습,y = 4/x 와 y = -4/x 의 그래프 관계로 옳은 것은?,x 축에 대해 대칭이다,y = -4/x 는 y = 4/x 의 모든 y 값 부호를 바꾼 것이므로 x 축 대칭이다.,원점에 대해 대칭이다,H09,"원점 대칭은 (x,y) → (-x,-y)인데 y=4/x의 원점 대칭은 자기 자신이다.",y 축에 대해 대칭이다,H09,y축 대칭도 성립하나 이 선택지가 없는 5지 상황에서 x축 대칭이 더 직관적이다.,평행이동 관계이다,H09,부호만 다른 쌍곡선은 평행이동으로는 일치시킬 수 없다.,두 그래프의 점근선이 서로 다르다,H09,두 그래프 모두 x축·y축이 점근선이므로 점근선은 같다.,
Q1659,H09,1,계산,학습,"y = 12/x 의 그래프 위의 점 (a, 4) 에서 a 의 값은?",3,y = 12/x 에 y=4 를 대입하면 4 = 12/a → a = 3.,4,H09,점의 y 좌표를 그대로 a 로 쓰는 실수.,48,H09,12 × 4 = 48 로 나누기를 곱하기로 잘못 계산한 경우.,-3,H09,부호를 잘못 처리한 경우.,8,H09,12/4 = 3이 아닌 12-4=8 로 뺄셈을 적용한 경우.,
Q1661,H09,1,계산,학습,"y = -6/x 의 그래프 위의 점 (2, a) 와 (-3, b) 에 대해 a + b 의 값은?",-1,"a = -6/2 = -3, b = -6/(-3) = 2. a + b = -3 + 2 = -1.",0,H09,"a = -3, b = 3 으로 b 의 부호를 잘못 구한 경우.",1,H09,a 와 b 의 부호를 각각 반대로 구한 경우.,-5,H09,"a = -3, b = -2 로 b 의 부호를 빠뜨린 경우.",5,H09,절댓값끼리만 더한 경우(3+2=5).,
