문제ID,점검개념ID,난이도,유형,용도,문제,정답,해설,오답1,약점1,오답해설1,오답2,약점2,오답해설2,오답3,약점3,오답해설3,오답4,약점4,오답해설4,그림
Q895,I01,3,계산,학습,수직선에서 -1보다 크고 4 이하인 정수를 모두 더하면?,10,"해당 정수는 0, 1, 2, 3, 4이고 합은 0 + 1 + 2 + 3 + 4 = 10이다.",9,I01,4를 포함하지 않는 오산,6,I01,0을 빠뜨리고 1 + 2 + 3 = 6으로 오산함,8,I01,0을 빠뜨리거나 4 대신 3까지만 더함,14,I01,-1도 포함하거나 계산 오류,
Q2468,I01,3,개념,학습,"-1/2, -3/4, 0, -2를 작은 수부터 순서대로 나열하면?","-2, -3/4, -1/2, 0",-2<-3/4<-1/2<0이다. 음수는 절댓값이 클수록 더 작은 수이므로 -2가 가장 작다.,"0, -1/2, -3/4, -2",I01,큰 수부터 나열(내림차순)하여 순서가 반대임.,"-1/2, -3/4, -2, 0",I01,분수 음수 크기 비교를 잘못하여 혼동.,"-2, -1/2, -3/4, 0",I01,-3/4와 -1/2의 크기 비교를 반대로 함.,"0, -2, -3/4, -1/2",I01,0을 가장 크게 두고 나머지 순서를 잘못 배열함.,number-line
Q2473,I01,3,응용,학습,-4 이상 1 미만인 정수 중 음수인 것의 합은?,-10,"-4≤x<1인 정수: -4, -3, -2, -1, 0. 음수는 -4, -3, -2, -1이고 합은 -10이다.",-6,I01,-3~-1만 더하고 -4를 빠뜨려 -6이 나옴.,-4,I01,-4 한 개만 더하거나 범위 해석 오류.,10,I01,절댓값의 합 4+3+2+1=10으로 계산함.,-16,I01,범위를 벗어난 수까지 포함하여 계산함.,number-line
Q2474,I01,3,계산,학습,-3<x≤5를 만족하는 정수 x를 모두 더하면?,12,"-3<x≤5인 정수: -2, -1, 0, 1, 2, 3, 4, 5. 합: 12이다.",5,I01,범위 내 정수를 제대로 더하지 않고 최댓값 5만 씀.,15,I01,0부터 5까지만 계산함.,7,I01,-2에서 5까지의 범위를 잘못 계산함.,-3,I01,조건에서 x>-3임을 무시하고 -3을 포함하여 잘못 계산함.,number-line
Q3262,I01,3,응용,학습,"a > 0, b < 0일 때, 다음 중 반드시 옳은 것은?",a - b > 0,b < 0이면 -b > 0. 따라서 a - b = a + (-b) > 0으로 반드시 성립.,a + b > 0,I01,a+b의 부호는 |a|와 |b|에 따라 달라져 항상 참이 아님.,a + b < 0,I01,a+b의 부호가 항상 음수라고 오해함.,ab > 0,I01,양수×음수 = 음수이므로 ab > 0은 틀림.,a/b > 0,I01,양수÷음수 = 음수이므로 a/b > 0은 틀림.,
Q3264,I01,3,방정식,학습,"수직선에서 x와 -2 사이의 거리가 5일 때, 가능한 x의 값의 합은?",-4,|x-(-2)| = 5 → |x+2| = 5 → x = 3 또는 x = -7. 합 = -4.,3,I01,양수해 x = 3만 구하고 음수해를 무시함.,-7,I01,음수해 x = -7만 구하고 양수해를 무시함.,5,I01,거리값 5를 x의 값으로 잘못 반환함.,-2,I01,중심점 -2를 x의 값으로 오해함.,
Q3265,I01,3,응용,학습,"3점 득점을 +3, 2점 감점을 -2로 표시한다. 3점 득점 2회, 2점 감점 3회를 한 팀의 최종 점수는?",0,(+3)×2 + (-2)×3 = 6 + (-6) = 0.,6,I01,득점만 계산하여 3×2 = 6으로 답함.,-6,I01,감점만 계산하여 (-2)×3 = -6으로 답함.,12,I01,절댓값을 합산하여 6+6 = 12로 계산함.,1,I01,득점 3과 감점 2의 차 3-2 = 1을 최종 점수로 오해함.,
Q4055,I01,3,응용,학습,수직선 위 정수 a와 b에서 a < 0 < b이고 |a| < |b|일 때 a+b의 부호는?,a+b > 0,"a는 음수, b는 양수이고 b의 절댓값이 a보다 크므로 a+b > 0.",a+b < 0,I01,음수 a가 더 크다고 착각한다.,a+b = 0,I01,|a|<|b|이면 a+b=0이 되는 특수한 경우라 착각한다.,알 수 없다,I01,조건만으로는 부호를 알 수 없다고 착각한다.,a+b ≥ 0,I01,등호 포함 여부를 잘못 판단한다.,number-line
Q4850,I01,3,수직선,학습,"수직선에서 두 점 A(a)와 B(-a+2) 사이의 거리가 10일 때, 가능한 a의 값을 모두 더하면?",2,"|a-(-a+2)| = |2a-2| = 10. 2a-2=10이면 a=6, 2a-2=-10이면 a=-4. 합: 2.",6,I01,a=6만 구하고 a=-4를 빠뜨림,-4,I01,a=-4만 구하고 a=6을 빠뜨림,-2,I01,합 6+(-4)=2를 부호 실수로 -2로 계산함,10,I01,거리 값 10을 그대로 답으로 씀,
Q4853,I01,3,수직선,학습,"다음 수 중 음수이면서 절댓값이 3 이하인 수의 합은? 1, -3, 7, -5, -2, 0, 4",-5,"음수: -3, -5, -2. 절댓값 3 이하: |-3|=3 ✓, |-5|=5 ✗, |-2|=2 ✓. 조건 만족: -3, -2. 합=-5.",-10,I04,절댓값 조건 무시하고 음수 전체를 더해 -10으로 계산함,-8,I04,-5를 잘못 포함하고 -2를 제외하여 -8로 계산함,-3,I04,-3만 선택하고 -2를 빠뜨림,-2,I04,-3의 절댓값이 정확히 3이므로 포함되지 않는다고 착각하여 -2만 선택함,
