문제ID,점검개념ID,난이도,유형,용도,문제,정답,해설,오답1,약점1,오답해설1,오답2,약점2,오답해설2,오답3,약점3,오답해설3,오답4,약점4,오답해설4,그림
Q063,M04,2,계산,학습,6x³ ÷ 2x = ?,3x²,계수는 나누고 지수는 빼기,3x³,M04,지수는 그대로 둠. 같은 밑 나눗셈은 지수 빼기,4x²,M04,계수 6÷2=3 인데 4로,3x,M04,지수 처리 누락 (3-1=2),3,M04,지수 미처리. x도 함께 나누어야,
Q064,M04,2,계산,학습,(2x²)³ = ?,8x⁶,(ab)^n = a^n b^n,6x⁵,M04,2³=8인데 6으로. 2와 3 곱한 듯,2x⁶,M04,2³=8인데 그대로 2로 둠,8x⁵,M04,지수×지수=2·3=6인데 5,6x⁶,M04,2³=8인데 6으로,
Q151,M04,2,계산,학습,3x² · 2x³,6x⁵,계수 곱 지수 합,6x⁶,M04,지수 곱. 지수는 합,5x⁵,M04,계수 합. 계수는 곱,6x⁹,M04,지수도 곱. 지수 합 5,5x⁶,M04,계수 합 지수 곱,
Q927,M04,2,계산,학습,(3a²)²를 간단히 하면?,9a⁴,3² × (a²)² = 9 × a^(2×2) = 9a⁴이다.,3a⁴,M04,계수 3을 제곱하지 않고 그대로 두어 3a⁴로 씀,6a⁴,M04,계수를 제곱 대신 2배로 처리해 3 × 2 = 6으로 계산함,9a²,M04,계수는 제곱하고 변수 지수는 그대로 두어 9a²로 씀,9a⁸,M04,지수를 곱하는 대신 제곱해 (a²)² = a^(2²) = a⁸로 계산함,
Q928,M04,2,계산,학습,4x³y ÷ 2xy를 간단히 하면?,2x²,(4 ÷ 2) × (x³ ÷ x) × (y ÷ y) = 2 × x² × 1 = 2x²이다.,2x³,M04,x³ ÷ x에서 지수를 빼지 않고 x³ 그대로 둠,2x²y,M04,y ÷ y = y로 잘못 계산해 y를 남김,4x²,M04,계수 4 ÷ 2 = 2를 계산하지 않고 4로 유지함,2x⁴,M04,x³ ÷ x에서 지수를 빼는 대신 더해 x^(3+1) = x⁴로 계산함,
Q929,M04,2,계산,학습,(-2x)³을 간단히 하면?,-8x³,(-2)³ × x³ = -8x³이다.,x³,M04,계수 (-2)³을 계산하지 않고 생략함,8x³,M04,(-2)³의 부호가 양수라고 오해해 2³ = 8로 계산함,-6x³,M04,계수를 거듭제곱이 아닌 곱셈으로 처리해 -2 × 3 = -6으로 계산함,-8x,M04,x³ 대신 x만 남겨 계수만 세제곱함,
Q931,M04,2,계산,학습,2a²b × (-3ab²)를 간단히 하면?,-6a³b³,"2 × (-3) = -6, a²×a = a³, b×b² = b³이므로 -6a³b³이다.",6a³b³,M04,음수 × 양수의 부호를 양수로 처리해 +6으로 계산함,-6a²b³,M04,a² × a에서 지수를 더하지 않고 a² 그대로 둠,-6a³b²,M04,b × b²에서 지수를 더하지 않고 b² 그대로 둠,-6a³,M04,b³항을 빠뜨리고 계수와 a 지수만 계산함,
Q934,M04,2,계산,학습,x² × (-x)³을 간단히 하면?,-x⁵,(-x)³ = -x³이므로 x² × (-x³) = -x^(2+3) = -x⁵이다.,x⁵,M04,(-x)³의 부호 (-1)³ = -1을 무시하고 양수로 처리함,-x⁶,M04,지수를 더하는 대신 곱해 x^(2×3) = x⁶으로 계산함,x⁶,M04,지수 곱셈 오류와 부호 오류를 모두 범함,-1/x,M04,지수 뺄셈으로 x^(2-3) = x^(-1) = 1/x에 부호를 붙임,
Q1717,M04,2,계산,학습,(-3x²y)³를 간단히 하면?,-27x⁶y³,"(-3)³=-27, (x²)³=x⁶, y³이므로 결합하면 -27x⁶y³입니다.",27x⁶y³,M04,음수의 홀수 거듭제곱은 음수임을 잊고 양수로 처리한 실수입니다.,-9x⁶y³,M04,계수를 세 번 곱하지 않고 두 번만 곱해 (-3)²=9로 계산한 오류입니다.,-27x⁵y³,M04,x²의 지수를 곱하지 않고 더해 2+3=5로 계산한 실수입니다.,-27x⁶y,R01,y에도 지수 3을 적용해야 하는데 y¹으로 그대로 쓴 경우입니다.,
Q1718,M04,2,계산,학습,(x²y)³ ÷ xy²를 간단히 하면?,x⁵y,(x²y)³=x⁶y³ 이후 x⁶y³÷xy²=x^(6-1)y^(3-2)=x⁵y입니다.,x⁵y²,M04,y 지수를 3-2=1이 아닌 2 그대로 두는 계산 실수입니다.,x³y,M04,(x²y)³을 전개할 때 x지수를 2×3=6이 아닌 2+3=5로 잘못 계산했습니다.,x⁵,M04,b³÷b²=b인데 b를 표기에서 누락한 실수입니다.,x⁶y³,M04,분자를 전개했지만 xy²로 나누는 연산을 수행하지 않은 경우입니다.,
