문제ID,점검개념ID,난이도,유형,용도,문제,정답,해설,오답1,약점1,오답해설1,오답2,약점2,오답해설2,오답3,약점3,오답해설3,오답4,약점4,오답해설4,그림
Q012,P07,2,인수분해,진단,x² + 5x + 6 을 인수분해하시오,(x+2)(x+3),곱이 6 합이 5인 두 수: 2와 3,(x+1)(x+6),P07,곱은 6이지만 합이 7이에요. 5가 되는 두 수,(x-2)(x-3),P07,부호가 잘못. (x-2)(x-3) = x²-5x+6 이에요,(x+5)(x+1),P07,곱이 5가 아니라 6이어야 해요,(x+6)(x-1),P07,곱이 -6 합이 5인데 우리가 찾는 건 곱 6 합 5,algebra-tile:(x+a)(x+b)
Q099,P07,2,인수분해,학습,x² - 3x - 10 을 인수분해하시오,(x - 5)(x + 2),곱이 -10 합이 -3 인 두 수,(x + 5)(x - 2),P07,부호 잘못. 합 +3 됨,(x - 5)(x - 2),P07,곱 +10 됨. 부호 다른 두 수,(x + 5)(x + 2),P07,곱 +10 합 +7 됨,(x - 1)(x - 3),P07,곱 +3 합 -4 임,algebra-tile:(x+a)(x+b)
Q411,P07,2,인수분해,학습,x² + 7x + 12 = ?,(x + 3)(x + 4),곱 12 합 7,(x + 2)(x + 6),P07,곱 12 합 8,(x + 1)(x + 12),P07,곱 12 합 13,(x - 3)(x - 4),P07,부호 잘못,(x + 6)(x + 1),P07,곱 6 합 7,algebra-tile:(x+a)(x+b)
Q412,P07,2,인수분해,학습,x² - 6x + 8 = ?,(x - 2)(x - 4),곱 8 합 -6,(x + 2)(x + 4),P07,부호 잘못,(x - 1)(x - 8),P07,곱 8 합 -9,(x - 2)(x + 4),P07,곱 -8 됨,(x + 8)(x - 1),P07,잘못,algebra-tile:(x+a)(x+b)
Q413,P07,2,인수분해,학습,x² + 2x - 8 = ?,(x + 4)(x - 2),곱 -8 합 2,(x - 4)(x + 2),P07,합 -2 됨,(x + 4)(x + 2),P07,곱 8 됨,(x + 8)(x - 1),P07,잘못,(x + 2)(x - 4),P07,같은 답 다른 표기 OK,algebra-tile:(x+a)(x+b)
Q1278,P07,2,인수분해,학습,x² - 4x - 21 을 인수분해하시오.,(x - 7)(x + 3),곱이 -21이고 합이 -4인 두 수는 -7과 3입니다. 따라서 (x-7)(x+3)입니다.,(x + 7)(x - 3),P07,두 수의 부호를 반대로 배정하여 합 4≠-4가 되는 오류입니다.,(x - 3)(x - 7),P03,곱이 21이 되어 부호가 틀린 오류입니다.,(x + 3)(x + 7),P03,"부호를 무시하고 양수 3, 7을 사용한 오류입니다.",(x - 21)(x + 1),P07,합 -20≠-4로 잘못된 쌍을 선택한 오류입니다.,
Q1279,P07,2,인수분해,학습,x² + 9x + 20 을 인수분해하시오.,(x + 4)(x + 5),곱이 20이고 합이 9인 두 수는 4와 5입니다. 따라서 (x+4)(x+5)입니다.,(x + 2)(x + 10),P07,"합 12≠9로 곱 20이 되는 다른 쌍 2, 10을 잘못 선택한 오류입니다.",(x + 1)(x + 20),P07,합 21≠9로 잘못된 쌍을 선택한 오류입니다.,(x - 4)(x - 5),P03,부호를 잘못 적용하여 합 -9가 되는 오류입니다.,(x + 4)(x + 5)²,P07,식의 차수를 과도하게 계산한 오류입니다.,
Q1280,P07,2,인수분해,학습,x² + 2x - 15 를 인수분해하시오.,(x + 5)(x - 3),곱이 -15이고 합이 2인 두 수는 5와 -3입니다. 따라서 (x+5)(x-3)입니다.,(x + 3)(x - 5),P07,두 수의 부호를 반대로 배정하여 합 -2≠2가 되는 오류입니다.,(x + 15)(x - 1),P07,합 14≠2로 잘못된 쌍을 선택한 오류입니다.,(x - 5)(x - 3),P04,두 수 모두 음수로 취해 곱 15≠-15인 오류입니다.,(x + 5)(x + 3),P04,두 수 모두 양수로 취해 곱 15≠-15인 오류입니다.,
Q1281,P07,2,인수분해,학습,x² - 9x + 18 을 인수분해하시오.,(x - 3)(x - 6),곱이 18이고 합이 -9인 두 수는 -3과 -6입니다. 따라서 (x-3)(x-6)입니다.,(x - 2)(x - 9),P07,합 -11≠-9로 잘못된 쌍을 선택한 오류입니다.,(x + 3)(x + 6),P03,두 수 모두 양수로 취해 합 9≠-9인 오류입니다.,(x - 1)(x - 18),P07,합 -19≠-9로 잘못된 쌍을 선택한 오류입니다.,(x + 3)(x - 6),P07,두 수의 부호를 잘못 배정하여 합 -3≠-9가 되는 오류입니다.,
Q2068,P07,2,인수분해,학습,x² + 4x - 32 를 인수분해하시오.,(x + 8)(x - 4),"곱이 -32, 합이 4인 두 수: 8과 -4. (x+8)(x-4)",(x - 8)(x + 4),P07,두 수의 부호를 반대로 배정하여 곱=-32이지만 합=-4로 오답,(x + 4)(x - 8),P07,"위와 동일, 합이 -4가 되어 조건 불만족",(x + 16)(x - 2),P07,곱=-32이지만 합=14≠4이므로 잘못된 인수 선택,(x + 8)(x + 4),P07,곱이 양수로 바뀌어 조건 불만족,
