문제ID,점검개념ID,난이도,유형,용도,문제,정답,해설,오답1,약점1,오답해설1,오답2,약점2,오답해설2,오답3,약점3,오답해설3,오답4,약점4,오답해설4,그림
Q081,R05,3,계산,학습,1/(√3 - 1) 의 분모를 유리화하시오,(√3 + 1)/2,분자분모에 (√3+1) 곱,√3 + 1,R05,분모 처리 후 결과 식. 분모가 (√3-1)(√3+1)=3-1=2,(√3+1)/4,R05,분모 계산 잘못. 3-1=2 가 4 아님,(√3-1)/2,R05,분자에 (√3-1) 을 그대로. 켤레인 (√3+1) 곱,1/2,R05,중간 단계만 적음,square-root:3
Q164,R05,3,계산,학습,2/(√5 + √3) 를 유리화,√5 - √3,(√5+√3)(√5-√3) = 2 → 2/2 = 1 그러므로 2(√5-√3)/2 = √5-√3,(√5+√3),R05,분자에 같은 식. 켤레가 (√5-√3),2(√5-√3),R05,분모 처리 누락,(√5-√3)/2,R05,분모 잘못. 5-3 = 2,2/(√5-√3),R05,분모만 바꿈,square-root:5
Q1049,R05,3,계산,학습,1/(√5-√2) 의 분모를 유리화하면?,(√5+√2)/3,켤레식 (√5+√2)를 곱해 분모를 5-2=3으로 만든다. (√5+√2)/3.,(√5-√2)/3,R05,켤레식 부호를 바꾸지 않고 그대로 곱함,1/(√5-√2),R05,유리화 과정 없이 식을 그대로 씀,(√5+√2)/7,R05,분모를 5+2=7로 잘못 계산함,√5+√2,R05,분모 3을 약분해 없애버려 √5+√2만 씀,
Q1051,R05,3,계산,학습,3/(2+√3) 의 분모를 유리화하면?,6-3√3,켤레식 (2-√3)을 곱해 분모를 4-3=1로 만든다. 3(2-√3)/1=6-3√3.,3(2+√3),R05,켤레식 부호를 바꾸지 않아 분모가 (2+√3)²으로 됨,3/(2-√3),R05,분모의 부호만 바꾸고 실제 유리화를 수행하지 않음,6+3√3,R05,켤레식을 올바르게 곱했으나 전개 시 부호 실수함,3(2-√3)/7,R05,분모 4+3=7로 잘못 계산함,
Q1054,R05,3,계산,학습,1/(√3+1) + 1/(√3-1) 를 계산하면?,√3,"1/(√3+1)=(√3-1)/2, 1/(√3-1)=(√3+1)/2. 합=(√3-1+√3+1)/2=2√3/2=√3.",0,R05,두 분수가 부호 반대라 합이 0이 된다고 잘못 이해함,2√3,R05,분모 2로 나누는 것을 빠뜨리고 2√3으로 씀,1/√3,R05,두 분모를 직접 더해 1/(2√3)=1/√3으로 잘못 계산함,2/(√3+1+√3-1),R05,분수의 덧셈 규칙을 잘못 적용해 분모를 그냥 더함,
Q1840,R05,3,응용,학습,(√5-1)/(√5+1) 의 분모를 유리화하면?,(3-√5)/2,"켤레식 (√5-1)을 곱하면 분모=5-1=4, 분자=(√5-1)²=6-2√5. 따라서 (6-2√5)/4=(3-√5)/2.",(3+√5)/2,R05,(√5-1)² 전개 시 -2√5 항 부호를 +로 잘못 처리했다.,(6-2√5)/4,R05,(6-2√5)/4 를 (3-√5)/2 로 약분하지 않고 그대로 썼다.,(√5-1)/4,R05,분자를 (√5-1)² 으로 전개하지 않고 (√5-1) 그대로 두었다.,(√5+1)/4,R05,켤레식 부호를 반대로 해 분자가 (√5+1)²이 아닌 (√5+1)이 됐다.,
Q1844,R05,3,응용,학습,1/√2 + 1/√3 를 분모를 유리화하여 계산하면?,(3√2+2√3)/6,"1/√2=√2/2, 1/√3=√3/3. 통분하면 3√2/6+2√3/6=(3√2+2√3)/6.",√2+√3,R05,유리화 후 분모를 무시하고 분자만 더했다.,1/√5,R05,분모끼리 더해 1/(√2+√3)≈1/√5 로 잘못 계산했다.,√6/6,R05,분자를 합산할 때 √2×√3=√6 으로 곱셈 적용해 잘못 계산했다.,(√2+√3)/6,R05,통분 계수(3과 2)를 분자에 곱하지 않고 그냥 더했다.,
Q1845,R05,3,응용,학습,"a = 1/(√3+√2) 일 때, a 의 값은?",√3-√2,"켤레식 (√3-√2)를 위아래에 곱하면 분모=3-2=1, 분자=√3-√2. 따라서 a=√3-√2.",√3+√2,R05,켤레식 부호를 바꾸지 않고 (√3+√2)를 그대로 곱해 분자가 (√3+√2)² 이 됐다.,1/(√3-√2),R05,분모 부호만 바꾸고 분자에 결과를 반영하지 않았다.,(√3-√2)/5,R05,분모를 (√3)²+(√2)²=5 로 잘못 계산했다.,√2-√3,R05,유리화 결과의 부호를 반대로 적었다.,
Q2630,R05,3,계산,학습,(√5+√2)/(√5-√2) 의 분모를 유리화하면?,(7+2√10)/3,(√5+√2)²/(5-2)=(5+2√10+2)/3=(7+2√10)/3,7+2√10,R05,분모 (√5-√2)(√5+√2)=3임을 구하였으나 3으로 나누지 않는 실수입니다.,(3+2√10)/3,R05,분자 (√5+√2)²의 (√5)²+(√2)²=5+2=7을 3으로 잘못 계산하는 실수입니다.,(7-2√10)/3,R05,켤레 (√5-√2)를 곱하여 분자를 (√5+√2)(√5-√2)=3으로 잘못 처리하는 실수입니다.,(7+2√10)/7,R05,분모를 (√5)²+(√2)²=7로 잘못 계산하는 실수입니다.,
Q2634,R05,3,계산,학습,1/(√3+1) - 1/(√3-1) 을 계산하면?,-1,유리화하면 (√3-1)/2-(√3+1)/2=(√3-1-√3-1)/2=-2/2=-1,√3,R05,뺄셈을 덧셈으로 실수하여 (√3-1)/2+(√3+1)/2=2√3/2=√3로 계산합니다.,0,R05,두 항이 서로 같다고 오인하여 0으로 계산하는 실수입니다.,-√3,R05,부호를 혼동하여 -√3으로 계산하는 실수입니다.,-1/2,R05,유리화 후 분모를 2가 아닌 4로 계산하여 -2/4=-1/2가 되는 실수입니다.,
