문제ID,점검개념ID,난이도,유형,용도,문제,정답,해설,오답1,약점1,오답해설1,오답2,약점2,오답해설2,오답3,약점3,오답해설3,오답4,약점4,오답해설4,그림
Q689,S05,2,개념,학습,"명제 ""x = 2 이면 x² = 4"" 의 이는?",x ≠ 2 이면 x² ≠ 4,이: 가설 부정 → 결론 부정,x² = 4 이면 x = 2,S05,역,x² ≠ 4 이면 x ≠ 2,S05,대우,x = -2 이면 x² = 4,S05,반례,x ≠ 2 이면 x = 4,S05,잘못,
Q690,S05,2,개념,학습,"명제 ""정사각형이면 마름모이다"" 의 역의 참거짓은?",거짓,"역: ""마름모면 정사각형"" — 반례: 일반 마름모",참,S05,반례 못 찾음,판별 불가,S05,명확,명제 아님,S05,명제임,원명제와 동치,S05,동치 아님 (이가 동치),
Q691,S05,2,개념,학습,"""p → q"" 가 참일 때 p 는 q 의 ___ 조건이다 — 빈칸은?",충분,p 만족하면 q 도 → p 가 충분,필요,S05,q 가 p 의 필요,필요충분,S05,역도 참이어야,무관,S05,관계 있음,거짓,S05,조건은 참거짓 아님,
Q692,S05,2,개념,학습,"""x² = 1 ↔ x = 1 또는 x = -1"" 에서 x = 1 또는 x = -1 은 x² = 1 의 ___ 조건이다.",필요충분,양방향 동치,필요,S05,한 방향만,충분,S05,한 방향만,필요만,S05,양방향,관계 없음,S05,동치임,
Q1196,S05,2,계산,학습,"명제 ""xy ≠ 0 이면 x ≠ 0 이고 y ≠ 0 이다."" 의 대우는?",x = 0 또는 y = 0 이면 xy = 0 이다.,"조건부를 부정하면 ¬(x ≠ 0 ∧ y ≠ 0) = (x = 0 ∨ y = 0), 결론을 부정하면 xy = 0. 대우: 'x = 0 또는 y = 0이면 xy = 0이다.'",x = 0 이고 y = 0 이면 xy = 0 이다.,S05,조건부의 부정을 드 모르간 법칙 없이 and를 그대로 써 x = 0 이고 y = 0으로 잘못 부정했다.,x ≠ 0 이고 y ≠ 0 이면 xy ≠ 0 이다.,S05,대우 대신 역(결론을 조건부로 바꾼 것)을 구했다.,xy = 0 이면 x = 0 또는 y = 0 이다.,S05,대우 대신 이(조건부와 결론을 각각 부정만 한 것)를 구했다.,x ≠ 0 이고 y ≠ 0 이면 xy = 0 이다.,S05,대우를 구하면서 조건부를 부정하지 않고 결론만 부정했다.,
Q1197,S05,2,개념,학습,"명제 ""삼각형이면 다각형이다."" 의 역의 참거짓은?",거짓이며 반례는 사각형이다.,역: '다각형이면 삼각형이다.' 사각형은 다각형이지만 삼각형이 아니므로 역은 거짓이다.,"참이다, 다각형이면 반드시 삼각형이다.",S05,다각형에는 삼각형뿐 아니라 사각형·오각형 등도 포함됨을 간과했다.,거짓이며 반례는 원이다.,S05,원은 다각형이 아니므로 역의 반례가 될 수 없다.,"참이다, 원래 명제가 참이면 역도 참이다.",S05,원래 명제와 역의 참거짓은 일치하지 않을 수 있다.,거짓이며 반례는 직각삼각형이다.,S05,직각삼각형은 삼각형의 일종이므로 역의 반례가 될 수 없다.,
Q1198,S05,2,개념,학습,"""x > 3"" 은 ""x² > 9"" 의 어떤 조건인가? (x는 실수)",충분조건이지만 필요조건은 아니다.,x > 3이면 x > 0이므로 x² > 9이다(충분). 반대로 x² > 9이면 x > 3 또는 x < -3이므로 x > 3이 항상 성립하지 않는다(필요 아님).,필요조건이지만 충분조건은 아니다.,S05,x > 3 → x² > 9가 참이므로 x > 3은 x² > 9의 충분조건임을 간과했다.,필요충분조건이다.,S05,x < -3일 때 x² > 9이지만 x > 3이 아니므로 필요조건이 아님을 놓쳤다.,충분조건도 필요조건도 아니다.,S05,x > 3 → x² > 9가 성립함을 확인하지 않았다.,대우를 이용해야 판단할 수 있다.,S05,직접 함의 관계를 확인하면 되므로 대우가 필요하지 않다.,
Q1199,S05,2,개념,학습,"명제 ""삼각형이면 사각형이 아니다."" 의 이(~p이면 ~q)의 참거짓은?",거짓이다.,이: '삼각형이 아니면 사각형이다.' 오각형은 삼각형이 아니지만 사각형도 아니므로 이는 거짓이다.,"참이다, 원래 명제가 참이므로 이도 참이다.",S05,원래 명제와 이의 참거짓은 반드시 같지 않다.,"참이다, 이와 대우는 항상 참거짓이 같기 때문이다.",S05,이와 대우가 아닌 이와 역의 참거짓이 서로 같다.,알 수 없다.,S05,이의 참거짓을 반례를 통해 명확히 판단할 수 있다.,"거짓이다, 이는 항상 원래 명제와 참거짓이 반대이다.",S05,이와 원래 명제의 참거짓이 반드시 반대인 것은 아니다.,
Q1201,S05,2,계산,학습,"두 조건 p: x² = 4, q: x = 2 (x는 실수) 일 때 p는 q의 어떤 조건인가?",필요조건이지만 충분조건은 아니다.,"p의 진리집합 {-2, 2}, q의 진리집합 {2}. q → p(q ⊆ p)이므로 p는 q의 필요조건. p → q는 x = -2가 반례이므로 p는 충분조건이 아니다.",충분조건이지만 필요조건은 아니다.,S05,q → p가 성립하므로 p가 q의 필요조건임을 간과하고 방향을 반대로 봤다.,필요충분조건이다.,S05,x = -2일 때 p가 참이지만 q가 거짓이므로 p → q는 거짓임을 놓쳤다.,충분조건도 필요조건도 아니다.,S05,q의 진리집합 ⊆ p의 진리집합임을 확인하지 않았다.,충분조건이다.,S05,p → q가 거짓(x = -2 반례)이므로 p는 충분조건이 아니다.,
Q1204,S05,2,개념,학습,"명제 ""x = 2 이면 |x| = 2"" 와 그 역 ""| x | = 2 이면 x = 2"" 의 참거짓을 각각 올바르게 판단한 것은?","원래 명제는 참, 역은 거짓이다.",x = 2이면 |x| = 2이므로 원래 명제는 참. 역에서 |x| = 2이면 x = 2 또는 x = -2이므로 역은 거짓(반례: x = -2).,"원래 명제도 참, 역도 참이다.",S05,역 '|x| = 2이면 x = 2'는 x = -2가 반례이므로 거짓이다.,"원래 명제는 거짓, 역은 참이다.",S05,x = 2이면 |x| = 2이 성립하므로 원래 명제는 참이다.,"원래 명제도 거짓, 역도 거짓이다.",S05,원래 명제 x = 2 → |x| = 2는 참이다.,"원래 명제는 참, 역도 참이다.",S05,|x| = 2이면 x = -2일 수도 있어 역이 거짓임을 놓쳤다.,
Q1987,S05,2,개념,학습,"명제 ""x²<1이면 -1<x<1이다"" (x는 실수)의 대우는?",x≤-1 또는 x≥1이면 x²≥1이다,"대우는 후건의 부정 → 전건의 부정. ~(-1<x<1)=(x≤-1 또는 x≥1), ~(x²<1)=(x²≥1).",-1<x<1이면 x²<1이다,S05,대우와 역을 혼동해 역(q→p)을 대우로 쓴 경우,x²≥1이면 -1<x<1이 아니다,S05,대우의 방향을 반대로 써서 이(~p→~q)를 대우로 혼동한 경우,x≤-1 또는 x≥1이면 x²<1이다,S05,대우에서 후건의 부정을 잘못 적용해 부등호 방향을 그대로 쓴 경우,x²<1이 아니면 -1<x<1이 아니다,S05,대우의 조건부를 전건과 후건 모두 부정만 하고 방향을 바꾸지 않은 경우,
Q1988,S05,2,개념,학습,"p: n은 4의 배수이다, q: n은 2의 배수이다 (자연수 n)일 때 p는 q의 어떤 조건인가?",충분조건이지만 필요조건은 아니다,"4의 배수이면 반드시 2의 배수이므로 p→q(참). 그러나 2는 2의 배수이지만 4의 배수 아님, q→p(거짓). 따라서 p는 q의 충분조건이지만 필요조건은 아니다.",필요조건이지만 충분조건은 아니다,S05,p→q와 q→p의 방향을 반대로 이해해 q→p가 참이라고 혼동한 경우,필요충분조건이다,S05,p→q와 q→p가 모두 참이라고 잘못 판단한 경우,충분조건도 필요조건도 아니다,S05,4의 배수이면 2의 배수임을 간과하고 p→q도 거짓이라고 판단한 경우,필요조건이다,S05,p→q(참)인데 이를 필요조건으로 혼동한 경우,
Q1989,S05,2,개념,학습,"명제 ""직각삼각형이 아니면 이등변삼각형이다""의 참거짓은?",거짓; 불등변 직각삼각형이 아니어도 이등변삼각형이 아닐 수 있다,직각삼각형이 아닌 삼각형 중 이등변삼각형이 아닌 불등변삼각형이 존재하므로 거짓이다.,참; 직각삼각형이 아니면 모든 변의 길이가 다를 수 없으므로,S05,직각삼각형 외에는 반드시 이등변삼각형이라고 잘못 이해한 경우,참; 이 명제는 원명제의 대우와 같으므로,S05,이 문장이 어떤 명제의 대우라고 잘못 판단한 경우,거짓; 직각삼각형이 아니면 사각형이기 때문이다,S05,삼각형의 종류에 대한 기본 개념이 부족한 경우,참; 모든 이등변삼각형은 직각삼각형이 아니므로,S05,이등변삼각형과 직각삼각형의 포함 관계를 잘못 이해한 경우,
Q1991,S05,2,개념,학습,"명제 ""a>0이고 b>0이면 a+b>0이다""의 역의 참거짓은?","거짓; a=2, b=-1이면 a+b=1>0이지만 b<0이므로 반례이다","역은 ""a+b>0이면 a>0이고 b>0이다"". a=2,b=-1이면 a+b=1>0이지만 b=-1<0. 거짓.",참; 역은 항상 원명제와 같은 참거짓이므로,S05,명제와 역이 항상 같은 참거짓을 갖는다고 잘못 이해한 경우,참; a+b>0이 되려면 두 수가 모두 양수여야 하므로,S05,a+b>0의 조건을 a>0이고 b>0으로만 한정해 생각한 경우,거짓; 역은 항상 원명제와 반대의 참거짓이므로,S05,명제와 역이 항상 반대의 참거짓을 갖는다고 잘못 이해한 경우,"거짓; a=1, b=1이 반례이므로",S05,"a=1, b=1은 전건 a>0이고 b>0과 후건 a+b>0을 모두 만족하므로 반례가 아님",
Q1993,S05,2,개념,학습,"명제 ""x+y가 짝수이면 x,y가 모두 짝수이다"" (x,y는 정수)의 역의 참거짓은?",참; 짝수+짝수=짝수이므로,"역은 ""x,y가 모두 짝수이면 x+y가 짝수이다"". 짝수+짝수=짝수이므로 참이다.","거짓; x=1,y=3이면 모두 홀수이지만 x+y=4(짝수)이므로",S05,"반례가 원명제의 반례인지 역의 반례인지를 혼동한 경우; x=1,y=3은 역의 반례가 아님",거짓; 역은 원명제가 거짓이면 항상 거짓이므로,S05,원명제와 역이 항상 같은 참거짓을 갖는다고 잘못 이해한 경우,"거짓; x=2,y=4이면 x+y=6이 홀수이므로",S05,짝수+짝수=짝수임에도 불구하고 계산을 잘못한 경우,"거짓; x=1,y=1이 반례이므로",S05,"역의 전건 ""x,y가 모두 짝수""를 x=1,y=1이 만족한다고 잘못 이해한 경우",
