문제ID,점검개념ID,난이도,유형,용도,문제,정답,해설,오답1,약점1,오답해설1,오답2,약점2,오답해설2,오답3,약점3,오답해설3,오답4,약점4,오답해설4,그림
Q626,T02,1,계산,학습,sin 30° 의 값은?,1/2,특수각 표 외우기,√3/2,T02,sin 60° 와 혼동,√2/2,T02,sin 45° 와 혼동,1,T02,sin 90° 와 혼동,√3/3,T02,tan 30° 와 혼동,"right-triangle:1.732,1,,,,√3,1,2"
Q627,T02,1,계산,학습,cos 60° 의 값은?,1/2,특수각 표: cos 60° = sin 30° = 1/2,√3/2,T02,cos 30° 와 혼동,√2/2,T02,cos 45° 와 혼동,1,T02,잘못,0,T02,cos 90° 와 혼동,"right-triangle:1,1.732,,,,1,√3,2"
Q628,T02,1,계산,학습,tan 45° 의 값은?,1,직각이등변삼각형에서 두 변이 같음,0,T02,tan 0° 와 혼동,√2/2,T02,sin 45° 와 혼동,√3,T02,tan 60° 와 혼동,√3/3,T02,tan 30° 와 혼동,"right-triangle:1,1,,,,1,1,√2"
Q1216,T02,1,계산,학습,cos 45° 의 값은?,√2/2,45°는 두 변의 길이가 1인 직각이등변삼각형에서 cos 45° = 밑변/빗변 = 1/√2 = √2/2.,1,T02,tan 45° = 1을 cos 45°로 혼동했다.,1/2,T02,cos 60° = 1/2를 cos 45°로 혼동했다.,√3/2,T02,cos 30° 또는 sin 60° 값인 √3/2를 cos 45°로 혼동했다.,√2,T02,분모 2를 빠뜨리고 √2만 답으로 썼다.,
Q1218,T02,1,계산,학습,cos θ = √3/2 (0° < θ < 90°) 일 때 θ 의 값은?,30°,cos 30° = √3/2이므로 θ = 30°.,60°,T02,sin 60° = √3/2를 cos θ로 혼동해 θ = 60°로 답했다.,45°,T02,√3/2를 √2/2로 혼동해 cos 45° = √2/2에 해당하는 θ = 45°로 답했다.,90°,T02,cos 90° = 0이므로 옳지 않다.,√3°,T02,cos θ = √3/2에서 θ를 값 √3으로 혼동했다.,
Q1221,T02,1,계산,학습,tan θ = 1 (0° < θ < 90°) 일 때 θ 의 값은?,45°,tan 45° = 1이므로 θ = 45°.,30°,T02,tan 30° = √3/3 ≈ 0.577 ≠ 1이므로 옳지 않다.,60°,T02,tan 60° = √3 ≈ 1.732 ≠ 1이므로 옳지 않다.,90°,T02,tan 90°는 정의되지 않으므로 옳지 않다.,1°,T02,tan 값과 각도의 수치가 같다고 잘못 생각했다.,
Q2006,T02,1,계산,학습,sin 30°+cos 60°+tan 45°의 값은?,2,"sin 30°=1/2, cos 60°=1/2, tan 45°=1. 따라서 1/2+1/2+1=2.",3/2,T02,tan 45°=1을 더하지 않고 sin 30°+cos 60°=1만 계산한 경우,1,T02,sin 30°+cos 60°=1로만 계산하고 tan 45°를 빠뜨린 경우,√3/2+1,T02,cos 60°=1/2 대신 cos 30°=√3/2로 혼동해 계산한 경우,3,T02,각 값을 모두 1로 잘못 계산한 경우,
Q2010,T02,1,개념,학습,tan θ=√3 (0°<θ<90°)일 때 θ의 값은?,60°,tan 60°=√3이므로 θ=60°.,30°,T02,tan 30°=1/√3=√3/3과 혼동해 tan 30°=√3으로 잘못 기억한 경우,45°,T02,tan 45°=1과 혼동한 경우,90°,T02,tan 90°가 정의되지 않음에도 90°를 답한 경우,75°,T02,특수각 삼각비 표를 보지 않고 임의로 계산한 경우,
Q2796,T02,1,개념,학습,cos 30° - sin 30° 의 값은?,(√3-1)/2,"cos 30°=√3/2, sin 30°=1/2 이므로 √3/2-1/2=(√3-1)/2",(√3+1)/2,T02,cos와 sin을 더하는 실수,1/2,T02,cos 30°를 sin 30°로 착각,√3/2,T02,sin 30°를 빼지 않고 cos 30°만 씀,0,T02,sin과 cos을 같은 값으로 착각,
Q2798,T02,1,개념,학습,다음 중 tan 30° 의 값으로 옳은 것은?,√3/3,tan 30°=sin 30°/cos 30°=(1/2)/(√3/2)=1/√3=√3/3,1/2,T02,sin 30° 값을 tan으로 착각,√3,T02,tan 60° 값을 tan 30°로 혼동,1,T02,tan 45° 값을 tan 30°로 혼동,2/√3,T02,분자·분모를 거꾸로 계산,
Q2803,T02,1,개념,학습,sin 45° 와 cos 45° 의 관계로 옳은 것은?,sin 45° = cos 45°,sin 45°=cos 45°=√2/2 로 두 값이 같다.,sin 45° > cos 45°,T02,45°에서의 대칭성을 모름,sin 45° < cos 45°,T02,sin이 cos보다 항상 작다고 착각,sin 45° = 2×cos 45°,T02,배수 관계로 잘못 기억,sin 45° + cos 45° = 1,T02,sin²+cos²=1을 sin+cos=1로 혼동,
Q3592,T02,1,개념,학습,cos θ = sin 30° (0° < θ < 90°)일 때 θ의 값은?,60°,sin 30°=1/2이므로 cos θ=1/2. cos 60°=1/2이므로 θ=60°,30°,T02,cos θ = sin 30°에서 θ=30°로 혼동함,45°,T02,cos 45°=√2/2와 혼동해 θ=45°로 처리함,90°,T02,cos 90°=0으로 알고 있어 혼동함,15°,T02,30°를 반으로 나누어 잘못 계산함,
Q3594,T02,1,개념,학습,"sin 30°, cos 45°, tan 30°, sin 60°, cos 30° 중 값이 가장 작은 것은?",sin 30°,"sin30°=0.5, tan30°=√3/3≈0.577, cos45°=sin60°=√3/2≈0.866, cos30°=√3/2. 가장 작은 것은 sin30°=1/2",tan 30°,T02,tan30°=1/√3≈0.577이 가장 작다고 잘못 판단함,cos 45°,T02,cos45°=√2/2가 작다고 혼동함,sin 60°,T02,sin60°=√3/2를 작은 값으로 잘못 판단함,cos 30°,T02,cos30°=√3/2를 가장 작다고 혼동함,
Q4378,T02,1,계산,학습,"세 각의 크기가 각각 30°, 60°, 90°인 삼각형에서 sin30° × sin60° × sin90°의 값은?",√3/4,"sin30°=1/2, sin60°=√3/2, sin90°=1. 곱하면 (1/2)×(√3/2)×1=√3/4.",√3/2,T02,sin90°=1이므로 sin30°×sin60°=√3/4이다.,3/4,T02,sin60°=√3/2이므로 (1/2)×(√3/2)×1=√3/4이다.,1/4,T02,sin60°=√3/2이다. 1/4는 sin30°×sin30°의 값이다.,1,T02,sin30°=1/2이므로 모든 값을 곱하면 1이 아니다.,
