문제ID,점검개념ID,난이도,유형,용도,문제,정답,해설,오답1,약점1,오답해설1,오답2,약점2,오답해설2,오답3,약점3,오답해설3,오답4,약점4,오답해설4,그림
Q263,V03,1,계산,학습,2/x - 1/x = ?,1/x,분모 같음 분자 차,1,V03,x 처리 잘못,1/(2x),V03,잘못,0,V03,같은 분수 X,1/x²,V03,분모 곱 잘못,
Q265,V03,1,계산,학습,3/(x-1) + 2/(x-1) = ?,5/(x-1),분모 같음 분자 합,5/(2x-2),V03,분모 더함 X,6/(x-1)²,V03,곱으로 잘못,1/(x-1),V03,분자 차로 잘못,5/x,V03,-1 빼먹음,
Q1076,V03,1,계산,학습,"2/(x+1) + 3/(x+1) = ? (단, x≠-1)",5/(x+1),분모가 같으므로 분자만 더하면 (2+3)/(x+1)=5/(x+1),5/(2x+2),V03,분모도 더한 오류: (x+1)+(x+1)=2(x+1),6/(x+1)²,V03,분모를 곱셈으로 처리한 오류,5/(x+1)²,F03,통분 없이 분모를 제곱으로 만든 오류,2/(2x+2),V03,분자는 더하지 않고 분모만 잘못 변환한 오류,
Q1082,V03,1,계산,학습,"x/(x-2) + 2/(x-2) = ? (단, x≠2)",(x+2)/(x-2),분모가 같으므로 분자만 더하면 (x+2)/(x-2),x+2,V01,분모를 1로 약분한 오류,(x+2)/(2x-4),V03,분모도 더한 오류: (x-2)+(x-2)=2(x-4),x/2,V03,분자 분모를 잘못 처리한 오류,1,V01,분자 분모가 같아 약분된다고 착각한 오류,
Q1866,V03,1,계산,학습,"3/(x+2) - 1/(x+2) = ? (단, x≠-2)",2/(x+2),분모가 같으므로 분자끼리 빼면 (3-1)/(x+2) = 2/(x+2).,2/(2x+4),V03,분모도 같이 빼서 (x+2)-(x+2)=2x+4로 잘못 계산했다.,2/2=1,V03,분자만 빼고 분모도 약분해 1이라고 답했다.,3/(x+2),V03,1/(x+2)을 빼지 않고 그대로 두었다.,2,V03,분자끼리 빼고 분모를 쓰지 않았다.,
Q1868,V03,1,계산,학습,"5/(x-1) - 2/(x-1) = ? (단, x≠1)",3/(x-1),분모가 같으므로 분자끼리 빼면 (5-2)/(x-1) = 3/(x-1).,3/(x²-2x+1),V03,분모를 (x-1)-(x-1)로 뺄셈해 (x-1)² 로 잘못 계산했다.,3,V03,분자만 빼고 분모를 쓰지 않았다.,7/(x-1),V03,뺄셈 대신 덧셈을 해 5+2=7이 됐다.,3/(2x-2),V03,분모를 (x-1)+(x-1)=2x-2 로 잘못 더했다.,
Q1873,V03,1,계산,학습,"1/(x-2) + 3/(x-2) = ? (단, x≠2)",4/(x-2),분모가 같으므로 분자끼리 더하면 (1+3)/(x-2) = 4/(x-2).,4/(x²-4x+4),V03,분모를 더해 (x-2)+(x-2)=(x-2)² 로 잘못 처리했다.,4,V03,분자만 더하고 분모를 쓰지 않았다.,4/(2x-4),V03,분모도 더해 (x-2)+(x-2)=2x-4로 계산했다.,1/(x-2),V03,분자를 더하지 않고 첫 번째 분수만 남겼다.,
Q2661,V03,1,계산,학습,"(x+1)/(x-3) + 2/(3-x) 를 계산하면? (단, x≠3)",(x-1)/(x-3),"3-x=-(x-3)이므로 2/(3-x)=-2/(x-3), 합: (x+1-2)/(x-3)=(x-1)/(x-3)",(x+3)/(x-3),V03,2/(3-x)의 부호를 인식하지 못하고 2/(x-3)으로 처리하여 x+1+2=x+3이 됩니다.,(x-1)/(3-x),V03,분모를 (x-3)으로 정리하지 않고 (3-x)로 남기는 실수입니다.,(x+1)(3-x)+2(x-3)/((x-3)(3-x)),V03,서로 다른 분모를 통분하지 않고 복잡하게 계산하는 실수입니다.,(x-1)/(x-3)²,V03,분모를 (x-3)² 으로 잘못 계산하는 실수입니다.,
Q2663,V03,1,계산,학습,"5/(x²-x-2) + 2/(x-2) 를 계산하면? (단, x≠2, x≠-1)",(2x+7)/((x-2)(x+1)),x²-x-2=(x-2)(x+1)이므로 5/((x-2)(x+1))+2(x+1)/((x-2)(x+1))=(2x+7)/((x-2)(x+1)),7/((x-2)(x+1)),V03,2/(x-2)의 통분 시 (x+1)을 곱하지 않고 5+2=7만 계산하는 실수입니다.,(2x+5)/((x-2)(x+1)),V03,2(x+1)=2x+2 대신 2x로만 계산하여 5+2x=2x+5가 되는 실수입니다.,(x+6)/((x-2)(x+1)),V03,2(x+1)을 (x+2)로 잘못 전개하는 실수입니다.,3/((x+1)),V03,분모를 잘못 약분하여 계산하는 실수입니다.,
Q3446,V03,1,계산,학습,"1/(x+1) + 1/(x+2) 를 계산하면? (단, x≠-1, x≠-2)",(2x+3)/[(x+1)(x+2)],통분: (x+2+x+1)/[(x+1)(x+2)] = (2x+3)/[(x+1)(x+2)],2/(2x+3),V03,분자·분모를 뒤집음,2/[(x+1)(x+2)],F03,분자를 1+1=2로만 계산,1/[(x+1)(x+2)],F03,통분 시 분자를 1로 처리,(2x+3)/(x²+2),F03,분모를 (x+1)+(x+2)=2x+3... 또는 x²+2로 오계산,
Q3453,V03,1,계산,학습,"2/x + 3/(x-1) 를 계산하면? (단, x≠0, x≠1)",(5x-2)/[x(x-1)],[2(x-1)+3x]/[x(x-1)] = (2x-2+3x)/[x(x-1)] = (5x-2)/[x(x-1)],5/[x(x-1)],F03,분자를 2+3=5로만 계산,(5x+2)/[x(x-1)],M05,분배 오류: 2(x-1)=2x+2로 잘못,(5x-2)/(x-1),V03,분모 x 누락,5/(2x-1),F03,분자·분모 모두 더함: (2+3)/(x+x-1),
Q4236,V03,1,계산,학습,"3/(x+2) + 4/(x+2) 를 계산하면? (단, x≠-2)",7/(x+2),분모가 같으므로 분자끼리 더한다. (3+4)/(x+2) = 7/(x+2).,7/(2x+4),F03,분모가 같을 때도 분모를 합산해 2(x+2)로 만드는 실수입니다.,12/(x+2),V01,분자를 더하지 않고 곱하여 3×4=12로 계산하는 오류입니다.,7/(x²+4x+4),F03,분모가 같아도 곱하여 (x+2)²로 만드는 실수입니다.,7/(x+4),V01,(x+2)+(x+2)를 잘못 계산해 x+4로 쓰는 실수입니다.,
Q4237,V03,1,계산,학습,"x/(x-4) - 4/(x-4) 를 계산하면? (단, x≠4)",1,"분모가 같으므로 분자끼리 뺀다. (x-4)/(x-4) = 1 (단, x≠4).",(x+4)/(x-4),V01,뺄셈을 덧셈으로 착각해 x+4로 분자를 더하는 실수입니다.,x/(x-4),V01,뒤 항을 빼지 않고 그대로 두는 오류입니다.,1/2,F03,분모를 합산해 2(x-4)로 만들어 최종값을 1/2로 계산합니다.,0,V01,분자 x-4=0이라고 임의로 단정하는 오류입니다.,
