문제ID,점검개념ID,난이도,유형,용도,문제,정답,해설,오답1,약점1,오답해설1,오답2,약점2,오답해설2,오답3,약점3,오답해설3,오답4,약점4,오답해설4,그림
Q6113,X02,1,계산,학습,(3+2i)+(4-5i)를 a+bi로 나타낼 때 a+b의 값은?,4,"실수부 3+4=7, 허수부 2-5=-3. a+b=7+(-3)=4.",10,X02,허수부를 2+5=7로 잘못 더해 7+3=10으로 계산한 오답.,7,X02,실수부 7만 답한 오답.,-3,X02,허수부 -3만 답한 오답.,14,X02,실수부와 허수부 절댓값의 합 7+7=14로 계산한 오답.,
Q6114,X02,1,계산,학습,(5-3i)-(2+4i)를 a+bi로 나타낼 때 실수부와 허수부의 곱은?,-21,"실수부 5-2=3, 허수부 -3-4=-7. 곱=3×(-7)=-21.",21,X02,허수부의 부호를 무시하고 3×7=21로 계산한 오답.,-4,X02,실수부+허수부 = 3+(-7)=-4로 합을 구한 오답.,3,X02,실수부 3만 답한 오답.,-7,X02,허수부 -7만 답한 오답.,
Q6115,X02,1,계산,학습,(1+i)(1-i)의 값은?,2,(1+i)(1-i)=1²-i²=1-(-1)=2.,0,X02,i²=-1 대입을 빠뜨리고 1-1=0으로 계산한 오답.,2i,X02,곱셈 전개 오류로 2i를 답한 오답.,1+i,X02,한 인수만 남긴 오답.,-2,X02,i²=1로 잘못 대입하여 1-1-2=-1이 아닌 부호 실수로 -2를 답한 오답.,
Q6340,X02,1,복소수 연산,학습,(2+3i)+(4-i)를 계산하면?,6+2i,"실수부: 2+4=6, 허수부: 3+(-1)=2 → 6+2i",6+4i,X02,허수부를 3+1=4로 부호 무시,6-4i,X02,허수부를 3-4=-1로 혼동,2+2i,X02,실수부를 4-2=2로 잘못 계산,8+2i,X02,실수부를 2+3+4-1=8로 전체 합산,
Q6341,X02,1,복소수 연산,학습,(5-2i)-(3+4i)를 계산하면?,2-6i,"실수부: 5-3=2, 허수부: -2-4=-6 → 2-6i",2+2i,X02,허수부에서 -2+4=2로 부호 오류,2-2i,X02,허수부를 -2+4=-2로... 혹은 |-2|-|4|=2로 오류,8-6i,X02,실수부를 5+3=8로 계산,8+2i,X02,두 성분을 모두 더하는 오류,
Q6342,X02,1,복소수 연산,학습,i³의 값은?,-i,i²=-1이므로 i³=i²×i=-i,i,X02,i³=i로 착각,1,X02,i⁴=1과 혼동,-1,X02,i²=-1과 혼동,3i,X02,지수를 계수로 보아 3i로 오인,
Q6575,X02,1,뺄셈,학습,(6-i)-(4+3i)를 계산하면?,2-4i,실수부: 6-4=2. 허수부: -1-3=-4. 결과: 2-4i.,2+2i,X02,뺄셈 부호를 더하기로 오적용: -i+3i=2i로 계산한 오답.,10+2i,X02,뺄셈 대신 덧셈으로 계산: (6+4)+(-1+3)i=10+2i.,2+4i,X02,허수부 부호를 반대로: -1+3=2가 아닌 -1-(-3)=2... 또는 -4를 +4로 계산.,10-4i,X02,"실수부를 뺄셈 대신 덧셈: 6+4=10, 허수부는 올바른 오답.",
Q6576,X02,1,곱셈,학습,(3-2i)×2의 값은?,6-4i,"3×2=6, -2i×2=-4i. 결과: 6-4i.",6-2i,X02,실수부에만 2를 곱하고 허수부는 그대로: 6-2i.,3-4i,X02,허수부에만 2를 곱하고 실수부는 그대로: 3-4i.,6+4i,X02,허수부 부호를 반대로 처리: 6+4i.,1-i,X02,2로 나누어 계산한 오답.,
Q6577,X02,1,곱셈,학습,(4+i)(4-i)의 값은?,17,(4+i)(4-i)=16-i²=16+1=17.,15,X02,i²=1로 잘못 계산: 16-1=15.,16,X02,i²=0으로 보아 i항을 무시한 오답.,16-i²,X02,i²=-1을 대입하지 않고 미처리한 오답.,8,X02,4+4=8으로 단순 더하기한 오답.,
Q6854,X02,1,계산,학습,(7-4i)+(−3+2i)를 계산하면?,4-2i,"실수부: 7+(-3)=4, 허수부: -4+2=-2. 결과: 4-2i이다.",4+2i,X02,허수부 -4+2=-2인데 부호를 잘못 계산한 오답이다.,10-6i,X02,빼는 대신 더하는 오류를 범한 오답이다.,4-6i,X02,허수부를 -4-2=-6으로 잘못 계산한 오답이다.,-4+2i,X02,실수부 7-3=4인데 부호를 잘못 처리한 오답이다.,
Q6855,X02,1,계산,학습,(8+3i)−(5+7i)를 계산하면?,3-4i,"실수부: 8-5=3, 허수부: 3-7=-4. 결과: 3-4i이다.",3+4i,X02,허수부 3-7=-4인데 부호를 반대로 한 오답이다.,13+10i,X02,뺄셈 대신 덧셈을 한 오답이다.,-3+4i,X02,실수부 8-5=3인데 부호를 잘못 처리한 오답이다.,3-10i,X02,허수부를 3+7=10으로 잘못 계산한 오답이다.,
Q6856,X02,1,계산,학습,i⁷의 값은?,-i,i의 거듭제곱은 주기 4이다. i⁷ = i⁴·i³ = 1×(-i) = -i이다.,i,X02,i⁵ = i인데 i⁷과 혼동한 오답이다.,-1,X02,i⁶ = -1인데 i⁷과 혼동한 오답이다.,1,X02,i⁴ = 1인데 i⁷과 혼동한 오답이다.,i²,X02,i² = -1이다. i⁷ = -i이다. 지수 주기 4를 활용해야 한다.,
Q7248,X02,1,사칙연산,학습,(6+3i)-(9-i)를 계산하면?,-3+4i,"실수부끼리: 6-9=-3, 허수부끼리: 3-(-1)=4. 따라서 -3+4i.",-3+2i,X02,허수부에서 3-(-1)=4를 3-1=2로 계산함.,3+4i,X02,실수부를 9-6=3으로 뒤집어 계산함.,-3-4i,X01,뺄셈 시 허수부까지 부호를 바꿔 -3-4i로 계산함.,-15+2i,X02,(6-9)를 -(9+6)=-15로 잘못 계산함.,
Q7249,X02,1,사칙연산,학습,(-5+8i)+(2-3i)를 계산하면?,-3+5i,"실수부끼리: -5+2=-3, 허수부끼리: 8-3=5. 따라서 -3+5i.",-3-5i,X01,허수부 부호를 반전하여 -5i로 계산함.,3+5i,X02,실수부를 5-2=3으로 부호를 뒤집어 계산함.,-3+11i,X02,8i+(-3i)를 8i+3i=11i로 -3i의 부호를 무시함.,7+5i,X02,실수부를 -5+2=-3이 아닌 5+2=7로 계산함.,
Q7250,X02,1,사칙연산,학습,(-2+5i)×4를 계산하면?,-8+20i,"실수부: -2×4=-8, 허수부: 5×4=20. 따라서 -8+20i.",-8-20i,X02,허수부에 4를 곱할 때 부호를 반전하여 -20i로 계산함.,8+20i,X02,실수부 -2×4=-8을 2×4=8로 부호를 무시함.,-8+5i,X02,허수부에 4를 곱하지 않고 5i 그대로 둠.,8-20i,X02,실수부와 허수부 모두 부호를 잘못 처리함.,
Q7251,X02,1,사칙연산,학습,(3-7i)+(-1+2i)를 계산하면?,2-5i,"실수부끼리: 3+(-1)=2, 허수부끼리: -7+2=-5. 따라서 2-5i.",2+5i,X01,허수부 부호를 반전하여 5i로 계산함.,-2+5i,X02,실수부를 1-3=-2로 뒤집어 계산함.,4-5i,X02,실수부를 3+1=4로 부호를 무시함.,2-9i,X02,허수부를 -7+2=-5가 아닌 -7-2=-9로 계산함.,
